X,Z,Accumulation_sb_m,Xsl,Zsl
0.0,0.0,0.0,0.0,0.0
2490000.0,-665.2305280980121,-8.311951679069996e-05,216.0,-83.96742193064
2480000.0,-610.328064915756,-21.918240684768357,216.0,-0.5820616985652065
2460000.0,-539.1648734698665,-31.888822764506497,217.0,-0.5893151586328379
2270000.0,-158.26898974058093,-35.07026254920297,218.0,-0.09836582317973334
2270000.0,-123.73615519241572,-35.80046518382826,218.0,-0.07496126502492996
2280000.0,-100.25850992976417,-40.143857781109894,219.0,-0.006257264175242361
2290000.0,-77.49671174209573,-43.0802060913911,219.0,-5.241791358217993e-05
2290000.0,-48.03871364567514,-45.617525440035294,221.0,-6.647160822892432e-05
2310000.0,-54.84560039548622,-48.06072127943631,222.0,-0.0001214736381512356
2320000.0,-43.651226893655256,-50.41995824167307,224.0,-0.00021771123699622596
2320000.0,-30.648050862014056,-52.68180770665705,224.0,-0.00021789613694519965
2330000.0,-29.36272645907003,-54.90126341676999,225.0,-0.00035316345558139523
2340000.0,-36.14224344461903,-57.00429948709874,225.0,-0.00022740641013653277
2350000.0,-15.757227882386227,-59.03737131237666,225.0,-4.82289161727504e-05
2370000.0,-11.472949664549072,-61.03020822355626,227.0,-0.0001484841982457415
2380000.0,-15.202712281970776,-62.92337423423272,229.0,-0.00016476209628680236
2390000.0,-18.72052160467912,-64.74891898324475,231.0,-2.7829207321144807e-05
2390000.0,-10.138016923905903,-66.49177958510428,231.0,-2.7847403113328484e-05
2400000.0,-26.401586771638357,-68.20928169361295,232.0,-0.0003113429336419952
2410000.0,-19.61302713834476,279.97645502469436,235.0,-0.023855115669683718
2420000.0,-14.302339797290806,-43.57901595544542,236.0,-0.000867247018932844
2430000.0,-18.471307658894794,307.41413365192545,237.0,-0.05082549836109531
2440000.0,-19.317859965904642,-42.408511247586745,239.0,-0.15208095633692464
2450000.0,-17.28135455239188,-43.40969359044698,241.0,-0.4269324622935198
2460000.0,-26.04949654536663,354.3496242574011,241.0,-0.28133607907521907
2460000.0,-25.859265702084045,355.06544466541635,241.0,-0.28766652259559455
2470000.0,-32.4645932145109,369.540173319038,241.0,-0.15031173283213678
2490000.0,-33.6052445558987,393.4469076177437,244.0,-0.8802119238442643
2500000.0,-33.78259798102744,404.80501875648264,244.0,-0.3960542653202928
2510000.0,-35.92597364676272,423.93828659227745,245.0,-0.17081775202237443
2510000.0,-32.65819534216245,427.1955293491744,246.0,-0.9409444029563365
2520000.0,-38.67087638670084,435.7355679997843,246.0,-0.7511426583747327
2530000.0,-43.360537840786584,444.0952980394679,247.0,-1.2559877576666072
2530000.0,-42.81501349502177,444.0949558980814,247.0,-1.255896575959771
2530000.0,-40.91522655723211,460.4393125500821,247.0,-1.1714183292158242
2570000.0,-44.725315160472505,503.04695362768723,247.0,-1.372353812256592
2590000.0,-32.92610905314293,529.1454251639944,246.0,-0.12932729666452142
2600000.0,-43.490181416901784,533.3492260246031,249.0,-1.1054286872329369
2600000.0,-42.43841397273571,533.3511275005028,249.0,-0.8433548882422031
2600000.0,-42.43748152258421,534.175438154234,249.0,-0.9360406499516921
2610000.0,-62.87001506884887,578.7740244464509,249.0,-0.9857851017842922
2630000.0,-61.372927257273126,618.7703231669003,251.0,-0.6411801368280442
2660000.0,-63.88817270473583,657.1094870990526,252.0,-0.757395100026015
2670000.0,-56.702105510457656,684.9231917786148,253.0,-0.1276360380629986
2680000.0,-68.85543689844864,697.6759059719691,254.0,-0.7809697071230388
2680000.0,-68.85564835346769,697.675695756725,254.0,-0.8002670360176205
2680000.0,-65.8586669462582,697.6754857668701,254.0,-0.6866412593320261
2680000.0,-65.52537005458984,697.6752758606948,254.0,-0.701160870899968
2680000.0,-65.51592978297434,697.67506603796,253.0,-0.014276054695706062
2670000.0,-49.22842929296139,697.6791101916247,253.0,-0.1955082087646809
2670000.0,-47.61478414766347,718.5783809705945,253.0,-0.08289168078539844
2680000.0,-45.69428140029592,740.7748015112426,253.0,-0.13856661327136854
2680000.0,-31.552242855330206,763.2657924850845,253.0,-0.28057181428812733
2690000.0,-34.6631464771415,772.0681918741298,253.0,-0.4659109549304985
2690000.0,-31.55781794764076,817.605841869431,253.0,-0.6225353634731033
2700000.0,-47.50590829468948,817.6054289677433,252.0,-0.19759183320746396
