X,Z,Accumulation_sb_m,Xsl,Zsl
0.0,0.0,0.0,0.0,0.0
2490000.0,-665.2305280980121,-8.311951679069996e-05,216.0,-83.96742193064
2480000.0,-610.328064915756,-21.918240684768357,216.0,-0.5820616985652065
2460000.0,-539.1648734698665,-31.888822764506497,217.0,-0.5893151586328379
2270000.0,-158.26898974058093,-35.07026254920297,218.0,-0.09836582317973334
2270000.0,-123.73615519241572,-35.80046518382826,218.0,-0.07496126502492996
2280000.0,-100.25850992976417,-40.143857781109894,219.0,-0.006257264175242361
2290000.0,-77.49671174209573,-43.0802060913911,219.0,-5.241791358217993e-05
2290000.0,-48.03871364567514,-45.617525440035294,221.0,-6.647160822892432e-05
2310000.0,-54.84560039548622,-48.06072127943631,222.0,-0.0001214736381512356
2320000.0,-43.651226893655256,-50.41995824167307,224.0,-0.00021771123699622596
2320000.0,-30.648050862014056,-52.68180770665705,224.0,-0.00021789613694519965
2330000.0,-29.36272645907003,-54.90126341676999,225.0,-0.00035316345558139523
2340000.0,-36.14224344461903,-57.00429948709874,225.0,-0.00022740641013653277
2350000.0,-15.757227882386227,-59.03737131237666,225.0,-4.82289161727504e-05
2370000.0,-11.472949664549072,-61.03020822355626,227.0,-0.0001484841982457415
2380000.0,-15.202712281970776,-62.92337423423272,229.0,-0.00016476209628680236
2390000.0,-18.72052160467912,-64.74891898324475,231.0,-2.7829207321144807e-05
2390000.0,-10.138016923905903,-66.49177958510428,231.0,-2.7847403113328484e-05
2400000.0,-26.401586771638357,-68.20928169361295,232.0,-0.0003113429336419952
2410000.0,-16.470889712988242,283.69438088804844,238.0,-0.045158126820119465
2430000.0,-7.977932475957275,306.89756961537427,238.0,-0.01930218203839219
2440000.0,-7.951594280498551,319.61836420667703,240.0,-0.0830097668785787
2450000.0,-7.769909233195004,334.29901681547193,241.0,-0.05489123135691651
2460000.0,-12.101761374121196,345.3610896397773,242.0,-0.11944013867898957
2470000.0,-13.9289711857648,-23.42234683440654,243.0,-0.027200209187861236
2480000.0,-13.99327342312806,367.2215188968409,245.0,-0.29706435882072424
2490000.0,-11.57072780137559,381.2848171233218,246.0,-0.1716949756988578
2500000.0,-13.4658049467432,392.773523755551,247.0,-0.4576118388034004
2510000.0,-16.11204834357955,404.3569412542441,248.0,-0.5858381212672882
2530000.0,-19.160621047423284,427.22568315779745,249.0,-0.44650028525776747
2540000.0,-26.845970409566494,-7.755832073465179,250.0,-0.27544328777342864
2550000.0,-40.78417645307478,452.3865368418746,251.0,-0.5343949989400186
2550000.0,-38.996464314574915,458.15234382707564,251.0,-0.46678597336853717
2560000.0,-46.19993003286913,473.66663761672027,252.0,-0.710732946634408
2570000.0,-50.823520067082534,485.3362197760154,252.0,-0.27805539136849156
2570000.0,-41.44062835441528,498.5115899082281,253.0,-0.6117248409860041
2590000.0,-59.24355530886589,519.5113417329329,254.0,-1.086340825189515
2600000.0,-47.89222595842731,540.9731557127651,255.0,-2.845815715301082
2610000.0,-54.64049244888249,553.2887664724814,255.0,-1.2325830328938308
2610000.0,-44.17049802037275,567.2091540172619,255.0,-0.08226170108863855
2620000.0,-45.23943729938567,582.799215222635,256.0,-1.7502620273984224
2640000.0,-57.035427620458634,619.0595236577467,259.0,-1.629459801635257
2650000.0,-61.44888068746422,627.1927257463317,259.0,-1.1224996003503969
2650000.0,-53.78249241085247,636.3433154806605,259.0,-0.39675466795040554
2660000.0,-63.52636253186402,642.8103408267093,260.0,-1.999634927860274
2670000.0,-70.96831197416353,660.9889883096266,260.0,-0.9270424799187604
2680000.0,-53.87669497240185,696.2251157601127,263.0,-2.179331822969416
2700000.0,-56.24653127307303,729.1307696268752,264.0,-0.21427446613526324
2700000.0,-56.24691075694089,729.1305504564766,264.0,-0.21434702239315778
2700000.0,-56.24729022999893,730.1130646052248,264.0,-0.21441957230477243
2710000.0,-57.26864793581093,771.6060734928989,265.0,-3.4734739644038135
2720000.0,-64.49346677634367,789.1102360144127,265.0,-0.9851891894173493
2720000.0,-47.6259282196392,812.8548667094549,267.0,-1.1452814428852982
2730000.0,-52.60056523160255,841.7250259562384,268.0,-1.1520465245140739
2730000.0,-52.60048818044335,841.7244798441473,268.0,-1.1521622303309529
2730000.0,-52.60041117294415,845.8114181420801,268.0,-1.1522779238652932
