X,Z,Flexure_sb_m,Accumulation_sb_m,Xsl,Zsl,Flexure_sl_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2520000.0,-682.2996282913059,-0.08122151971074214,-10.972690996372183,216.0,-7.6209448919039104,-7.395799589396528
2530000.0,-686.4365964174025,3.204149395913715,-26.862163684660963,215.0,-0.8889868532916485,-12.982185911926914
2230000.0,-72.93900692051855,4.80698817128177,-28.987474144354202,215.0,-1.1645216983974365,-18.6116990928423
2250000.0,-86.13261894639186,1.313355332499967,-22.920067896103685,215.0,-0.8595394130043295,-23.204615107000826
2260000.0,-72.32007735604532,2.79198873265976,-37.99125162337753,215.0,-0.801493779006603,-27.24106540853886
2270000.0,-69.78454296692838,4.357388253044842,-42.00664608952956,215.0,-0.6990601294784123,-30.973369047511216
2280000.0,-67.923837536075,5.838612117634643,-45.606923014663586,213.0,-0.21396709513703757,-25.97333551255474
2290000.0,-71.65517713125394,7.557916496873976,-49.0939781858001,213.0,-0.20351067056514127,-27.95060233373099
2300000.0,-73.44126931782289,9.39949980918949,-52.58759464458427,213.0,-0.16638321872457237,-29.589938602613984
2300000.0,-58.178929860916895,11.286132570674868,-56.055159754692234,213.0,-0.16650477181864012,-31.095980474057296
2310000.0,-57.33766496516769,13.271890368821863,-59.479318428605126,213.0,-0.12242869365009681,-32.339291506292696
2320000.0,-62.36318332870404,15.355105660347418,-62.86140854345624,213.0,-0.09460394476528755,-33.29024099165967
2330000.0,-62.8221384909791,17.4889845683539,-66.21972649949066,213.0,-0.07429456844166896,-34.04178307209441
2340000.0,-69.211787935155,19.688338609872126,-69.54804728482283,213.0,-0.052809014841150685,-34.616612954313354
2350000.0,-70.57268670742802,21.91010108636634,-72.8463260308572,213.0,-0.03043043952417972,-35.0117576588787
2360000.0,-82.35161336706261,24.201374731552463,-76.10348545057361,213.0,-0.007863818658746366,-35.16768904330457
2370000.0,-79.84577121393377,26.51612879852983,-79.33724637485649,214.0,-0.04715612080586171,-44.26443158449494
2380000.0,-86.86513591799483,28.84213194467571,-82.56211951570657,214.0,-0.017481877922337626,-44.49266437990075
2390000.0,-89.87239538319743,31.17540522696897,-85.7397801980326,215.0,-0.03701215071543262,-53.45038884964721
2390000.0,-83.19128046599123,33.349226659932,-88.87204326687684,218.0,-0.01784354176921488,-92.12582715948419
2400000.0,-96.55536174404084,-276.29547674955256,629.901876983394,216.0,-0.9478319681287711,-70.72684846260088
2410000.0,-97.27428577652003,-286.2692142545173,664.1934857922341,221.0,-1.3654775686643306,-133.03518007840765
2420000.0,-99.0046412366444,-299.54599423630293,696.4434559247744,222.0,-0.5277008409404178,-148.07416638718476
2420000.0,-101.70806727877923,-313.9583570254349,720.4440317061552,222.0,-0.027932701108415198,-151.90788381628028
2430000.0,-107.69244313679377,-330.3604833154289,756.3733710395245,222.0,-1.651389638601692,-156.34584520552312
2440000.0,-116.35919544085324,-347.27836023492347,789.5031476235292,222.0,-1.2606640462152938,-161.28235388061614
2440000.0,-114.15592529815007,3.7678971949102116,-22.511431216378263,222.0,-2.347828041846785,-165.75514371168936
2460000.0,-136.1183876805165,-264.1531198007516,504.2100186472029,224.0,-0.8843969660261194,-202.34633607560045
2460000.0,-131.52864234405817,33.06335133701388,-47.01238067969913,225.0,-0.8032395756259534,-216.79202385642068
2470000.0,-136.55255449707587,34.968015299398125,-56.83430823487341,226.0,-1.106515651839452,-228.68391034328596
2480000.0,-135.4167094669415,37.02125360692313,-61.61725490895663,229.0,-0.49411780201162353,-272.3135477812662
2490000.0,-146.35010374212064,38.53655567694659,-63.97728846413323,231.0,-1.7382976594930695,-303.20681792196206
2500000.0,-163.7217052773893,38.89383977509425,-64.86821543028886,230.0,-1.1791432341820896,-303.00061753098345
2500000.0,-160.88765213648483,39.80538948632324,-66.2558226679792,231.0,-2.9779465271601633,-319.93017959767354
2510000.0,-165.31683934847803,41.326732908898876,-69.14226662191412,232.0,-1.0432399848810026,-335.1080301288419
2520000.0,-180.2005937651434,-338.4945865657848,635.0244975045356,231.0,-4.810038551450067,-335.1057807542585
2530000.0,-192.26470985422142,-471.067330421956,970.0644014550303,231.0,-1.482318884784362,-345.1525748023818
2540000.0,-198.06671894484762,-356.7997704938341,685.8872142097099,234.0,-0.2938948440919567,-384.28046308571976
2550000.0,-222.53242165753846,-370.5010814871249,703.4017468880215,234.0,-0.7302143998231974,-393.7056998932108
2560000.0,-246.88613103610697,-393.10075474493215,726.0451728056605,233.0,-4.2439180344984715,-401.21161907097303
2570000.0,-242.05561981847492,62.241459834353215,-59.91881959507837,237.0,-8.406219576333514,-447.0261761464951
2570000.0,-232.07422977076203,64.57856564593544,-65.53773774556313,237.0,-0.9949053117647287,-444.67050405806515
2580000.0,-252.89562649729817,66.8658272293124,-71.45400190121315,237.0,-1.7482756468440457,-445.423878154826
2590000.0,-256.05608524776125,69.20711929860947,-76.28897718434716,238.0,-0.4807881110259505,-464.52769078086504
2600000.0,-251.74189376017438,70.49894357002583,-76.50907470881359,240.0,-6.928238174372031,-485.365502938581
2610000.0,-258.6219988755561,72.49610201302207,-80.32835146298446,241.0,-8.618575248360916,-504.34205251050685
2610000.0,-253.2880450456332,74.57774842906447,-87.06778764044272,240.0,-1.4443579113566158,-494.82451394060485
2620000.0,-263.72111937477496,76.51239758373325,-92.1429947163738,242.0,-5.720372638573948,-523.764020300007
2630000.0,-262.4238883435176,78.25361364890904,-96.19240903774119,245.0,-5.6310775235239685,-559.7144105208437
