X,Y,Z,Flexure_m,Accumulation_m,Accumulation_max_m,Flexure_min_m,Flexure_mean_m,Flexure_max_m
2108716.4480000003,1015410.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068580.2969999998,1025321.646,0.0,-1.8174327200891867,-2.1892909480673897,9.438046885640107,-11.847485415630729,-1.9896545053925458,3.208928770440669
2087140.794,1001246.228,0.0,-6.094082762662683,35.20305149231469,30.47898119306353,-24.80503165656975,-5.294323682061641,7.3137431369509
2060754.6830000002,1004117.1479999999,0.0,-2.566569881480812,20.219002155252937,45.27314455058275,-36.57506681941664,-5.03322875618135,11.665584521161714
2048652.619,999911.2415,0.0,-0.4128701154990863,-48.325794466944885,60.57667904770884,-46.72430224864312,-4.348315656611602,16.160707489746986
2048652.619,999911.2415,0.0,0.7100834856392877,-68.95139183164558,73.0952426585474,-57.66542542028851,-4.712604236759408,20.42478531728046
2048652.619,999911.2415,0.0,1.9291248571701933,-70.45592941541399,80.12995471909989,-68.27123872025678,-4.893908788476479,24.748430563807872
2060851.335,1004667.964,0.0,0.25197134417235134,-32.52604507058785,84.892381035245,-83.87567400300101,-8.105589283505404,28.663084841731454
2060851.335,1004667.964,0.0,1.3620171293892067,-34.16649213592504,89.97220926927884,-94.6751383770477,-8.354626581964286,33.15321960211351
2060851.335,1004667.964,0.0,2.620463728985935,-35.92043016593619,103.35050382977784,-105.18554667652093,-8.412668657352178,37.586985759098546
2066760.15,1005945.5179999999,0.0,-2.1154378647446315,2.3946730300746992,112.00335112045343,-116.26481930121805,-10.455940500832899,41.95291973768927
2072635.825,1001099.497,0.0,-0.6155980949740348,-13.84500350586801,129.2696823092519,-131.39627565027024,-13.225016562707136,45.59320027212631
2072635.825,1001099.497,0.0,0.55493853212471,-15.741978503911886,136.72970210566092,-141.56139604374582,-13.28936771801387,49.810001114447005
2072635.825,1001099.497,0.0,1.819020668292173,-17.640612715907036,155.20517648074676,-151.12885211977917,-13.195169065226512,54.021547040381165
2072635.825,1001099.497,0.0,3.182991019256898,-19.542868646574366,163.66371350786264,-160.51487768233824,-12.975313642119842,58.23910667984472
2089372.24,1002213.1379999999,0.0,-10.533451065720868,14.077707823019951,182.4662198438815,-176.54880931300943,-21.197377526492954,61.3004341575037
2089372.24,1002213.1379999999,0.0,-9.636087005770973,12.837496347815053,202.70500636112078,-185.5156585337697,-21.134335384600888,65.4565081517156
2089372.24,1002213.1379999999,0.0,-8.665832914992336,11.486269021814563,208.94066261685902,-194.08271592268918,-20.972287201800917,69.61372515460654
2095569.639,996229.8703,0.0,-13.676012843837217,34.474513989524645,229.47762220814096,-210.03968792090245,-25.871335089310925,72.41567274654923
2034770.247,1009187.5759999999,0.0,36.79418994786661,-91.30771920303268,234.17294299632937,-159.5172861960178,13.513135440675326,83.82526337303867
2044954.17,995991.3575,0.0,35.24313662196325,-101.00092803275388,249.9474359600672,-174.39875905583773,9.061414230716531,87.31100199201043
2166738.469,1067304.405,0.0,-86.64473372446787,201.9675171902557,262.6074692344686,-275.10328779859384,-81.00537938101509,59.63275544600641
2206861.0930000003,1083579.024,0.0,-134.10440520650187,304.153347849479,291.14613839921094,-295.59403615553697,-113.13867091968088,50.98216587419713
2121176.6040000003,958454.0449,0.0,-39.63838580144857,5.832082781243646,312.1083658694342,-268.59274122791487,-49.999271314769985,72.93308660467939
2118580.036,980341.3493,0.0,-38.13195785263022,11.39722938885617,320.0736126919553,-269.8135979261899,-48.33657568443674,78.54636403113281
2133223.78,893981.0873,0.0,-43.62924997178877,-22.49125420291296,334.6231268400257,-293.7545655195314,-58.89868072109237,77.71822660511246
2059264.8769999999,985394.6441,0.0,19.420926344491065,-60.171848918259265,335.7958032093686,-217.11868507465147,-0.4606104611292015,95.40668154075135
2130539.607,1030023.194,0.0,-53.39392859149096,27.640576136057508,349.326241938039,-305.84665399321324,-64.3518927994751,83.81375218502974
2135670.326,843327.5490000001,0.0,-52.935033029650185,7.093898309384911,356.198218134556,-311.1969953156314,-62.34694930332111,83.85142492568767
2190300.142,932658.4969,0.0,-141.62245673836637,302.65208941274983,356.88697066586315,-377.1750410868211,-135.99674883522303,64.37280190725524
2252025.225,942595.8427,0.0,-228.86415778507376,469.28849441594485,361.1780926342818,-405.37442082949315,-207.9593354769566,26.25844211509962
2209515.148,921012.7366,0.0,-171.30872304704573,362.4753735102971,364.89215970939597,-396.4656499773799,-158.65348704612566,63.73786304171851
2153325.648,966193.4002,0.0,-89.8782720280284,201.68571020529336,374.3747363300954,-365.5508107147117,-96.31191436216142,87.6183210433454
2172198.417,901837.8093,0.0,-113.86748517824809,255.06552810956418,382.45111865789795,-395.2599682966832,-121.23355091137249,85.1617301345555
2210534.306,1013591.3309999999,0.0,-186.350350058049,392.6920096961104,381.5222154995255,-431.3374679666654,-173.73431598074083,60.5894153232886
2090064.784,990075.5093,0.0,-9.814776289512702,10.759527559090985,387.1438612045675,-308.64885926599067,-29.33584128866036,115.06136321273206
2052842.361,969566.0955,0.0,27.45682306965524,-103.02513810421749,391.2590941601365,-265.2773664581199,1.3091384845388032,115.20618044958118
2198972.154,1029690.24,0.0,-187.7246330006417,380.9807069910821,403.4847632288032,-448.18469436644966,-174.41296334177179,69.03097070144592
2121020.0,1050540.121,0.0,-55.93179905510463,42.55310051759006,418.0677738215018,-366.37127883675953,-71.15143430826876,105.26443693785717
2006720.0,993791.0,0.0,62.5509405912239,-137.20142737883396,426.0619493005768,-196.0379865009759,42.81731905677122,131.64429840660588
2205914.738,1049641.884,0.0,-218.9799369980165,429.97392068818016,432.74729234040547,-488.06975763978585,-197.4280581597204,67.32290805602001
2279649.424,1107573.845,0.0,-311.56186491584765,612.172401515889,449.264249369426,-520.6045659506408,-280.12796993065734,5.758778138940995
2337209.789,1140815.479,0.0,-375.06621707928457,754.1454571232913,460.5388097538246,-540.2142969961604,-335.28736403322256,-60.416500060135675
2103158.926,994264.9317,0.0,-34.20562310005091,36.964588858652974,469.21272867518906,-361.07140742366573,-54.56915901739118,111.26171390079233
2261589.002,920408.9827,0.0,-297.2593430558936,575.4268252630383,489.69949196698,-545.2366655015386,-277.9393399765044,23.4238437027949
2245320.445,874372.4675,0.0,-267.6699255079119,527.4780423468062,491.78186763613496,-527.950029777292,-243.38146231000906,53.05988935410332
2266368.8,936968.713,0.0,-319.6494020891176,632.3679957758764,501.27823832597073,-556.8623865039269,-287.8423465325824,15.2919997449202
2250228.861,1045979.559,0.0,-283.76171275502827,565.8589210395521,513.2754057267556,-548.5819482490616,-264.36015902579834,33.22153144908937
2340373.8219999997,948028.2851,0.0,-434.97916720643485,850.2744592083527,531.7361382938063,-618.3250002885678,-401.3444473164342,-97.8874639720845
2322675.8340000003,1103123.5929999999,0.0,-388.43096344376033,762.8659079931612,559.5326772783121,-600.8760861989153,-358.9423529640568,-49.50657434211056
2374277.471,1028562.7420000001,0.0,-484.7747970123231,960.4331075883687,603.4313625295132,-647.0455977281977,-448.07157456833073,-156.18063936338936
2309966.955,1005291.005,0.0,-389.31135319433514,760.8541539377924,643.5924805692417,-628.1702021673856,-363.3233416485193,-50.33016287430411
2369283.358,1013303.09,0.0,-487.8124492493629,956.7072993565013,674.3006868148022,-674.6509259483995,-450.2363844401864,-140.4425083497681
2199647.557,1033636.828,0.0,-195.95707638677698,404.4274440985545,706.688926980403,-519.9327938199779,-188.22342410267808,91.29794113285942
2294521.0730000003,919584.4521,0.0,-353.3982081339567,682.1329432982236,734.6916547249766,-649.0083289104879,-343.44038804722766,-9.592906225698862
2326052.492,808034.0513,0.0,-394.105885074558,758.7027620965603,764.9746724515807,-651.670676396361,-365.4354647190491,-21.073889440562194
2304392.496,917346.6386,0.0,-372.2837859996379,718.0025847428782,857.0112261658121,-657.5887713848975,-358.5307840098442,-20.596445712702387
2304392.496,917346.6386,0.0,-372.2416772771848,717.7767961795139,925.9830088384361,-660.5364941839753,-359.6926193791681,-19.526455952717665
2250282.9159999997,1046462.37,0.0,-284.09835840537073,560.2025865947799,984.7442240542621,-597.1612785719858,-269.68267282879043,46.824958756592544
2226622.0330000003,1042401.181,0.0,-251.01015353187165,501.4495338425124,1069.616517157372,-568.8823300337642,-230.65016248776118,76.25031420016055
2242287.798,1062424.551,0.0,-266.81977081189865,533.022398851429,1097.9833401243852,-592.197889068318,-256.53441665715945,66.45909416092996
2309826.701,1178630.672,0.0,-360.4430398881395,696.7260343890093,1134.6924126858523,-632.4735751988849,-340.25193391373205,6.434690694634895
2252208.339,998868.339,0.0,-285.9295144026399,572.4496511328681,1161.607098577041,-613.3312089134241,-277.645470043994,43.087911662900666
2252208.339,998868.339,0.0,-287.24527105718363,568.1242925733927,1191.489567527138,-620.4998918005886,-279.7670216204473,43.80677035123918
2236098.565,1019688.077,0.0,-270.5391375373375,541.3419329799136,1230.3155609214302,-597.5294984943656,-250.45519344875174,69.69595215033144
2225171.109,1025246.917,0.0,-250.1003723821951,504.06733831445445,1274.7304148870182,-585.6626957183939,-232.75437658624722,83.06734487456987
2267811.6659999997,856845.2118,0.0,-310.16624797589134,595.5858982521135,1301.342043466698,-642.029196840655,-295.79195015278634,60.442748662379
2368938.859,845321.337,0.0,-489.1395714129046,932.3003213913787,1381.397633530138,-758.5514266277426,-469.30939703159714,-110.25284829305325
2289513.295,874984.6945,0.0,-350.6033440387573,675.7370382467905,1447.2448711841337,-676.5758375978609,-339.1830001977761,19.887173498407623
2289513.295,874984.6945,0.0,-351.01051488009466,675.6180540400734,1503.8894547134714,-682.597070078016,-340.1329774784156,20.852160354153153
2196099.827,1056682.655,0.0,-187.7266970993002,403.0017767678784,1566.766060820546,-542.5058086921478,-178.90988900691625,127.67837664433371
2236174.181,1019405.075,0.0,-272.9333282108849,546.1821171724553,1608.4678109168256,-612.5509182767503,-253.44367702499463,77.2756534934625
2246415.062,1142010.746,0.0,-274.4684809497944,536.5588787893231,1636.6690769012118,-615.877226781604,-257.8265298720284,99.88954475630864
2224113.191,974798.4176,0.0,-229.99842858368294,472.1117903788262,1657.1604563581313,-600.3033251178293,-234.64717757541231,92.21858447474038
2274808.116,876563.7537,0.0,-326.0105257121012,624.550958700956,1681.9759214566798,-679.3547787221316,-321.200135514851,50.16512323042817
2289498.886,736839.4997,0.0,-333.3742272723666,638.5093575071376,1717.0114711347778,-679.4472044365583,-316.51756701511096,72.29014490987696
2107950.0209999997,966937.1581,0.0,-31.30539649906323,47.786653200860194,1743.8140309722723,-390.73250339109484,-35.28963868019791,195.7188329971784
