X,Z,Flexure_sb_m,Accumulation_sb_m,Xsl,Zsl,Flexure_sl_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2520000.0,-682.2996282913059,-0.08122151971074214,-10.972690996372183,216.0,-7.6209448919039104,-7.395799589396528
2530000.0,-686.4365964174025,3.204149395913715,-26.862163684660963,215.0,-0.8889868532916485,-12.982185911926914
2230000.0,-72.93900692051855,4.80698817128177,-28.987474144354202,215.0,-1.1645216983974365,-18.6116990928423
2250000.0,-86.13261894639186,1.313355332499967,-22.920067896103685,215.0,-0.8595394130043295,-23.204615107000826
2260000.0,-72.32007735604532,2.79198873265976,-37.99125162337753,215.0,-0.801493779006603,-27.24106540853886
2270000.0,-69.78454296692838,4.357388253044842,-42.00664608952956,215.0,-0.6990601294784123,-30.973369047511216
2280000.0,-67.923837536075,5.838612117634643,-45.606923014663586,213.0,-0.21396709513703757,-25.97333551255474
2290000.0,-71.65517713125394,7.557916496873976,-49.0939781858001,213.0,-0.20351067056514127,-27.95060233373099
2300000.0,-73.44126931782289,9.39949980918949,-52.58759464458427,213.0,-0.16638321872457237,-29.589938602613984
2300000.0,-58.178929860916895,11.286132570674868,-56.055159754692234,213.0,-0.16650477181864012,-31.095980474057296
2310000.0,-57.33766496516769,13.271890368821863,-59.479318428605126,213.0,-0.12242869365009681,-32.339291506292696
2320000.0,-62.36318332870404,15.355105660347418,-62.86140854345624,213.0,-0.09460394476528755,-33.29024099165967
2330000.0,-62.8221384909791,17.4889845683539,-66.21972649949066,213.0,-0.07429456844166896,-34.04178307209441
2340000.0,-69.211787935155,19.688338609872126,-69.54804728482283,213.0,-0.052809014841150685,-34.616612954313354
2350000.0,-70.57268670742802,21.91010108636634,-72.8463260308572,213.0,-0.03043043952417972,-35.0117576588787
2360000.0,-82.35161336706261,24.201374731552463,-76.10348545057361,213.0,-0.007863818658746366,-35.16768904330457
2370000.0,-79.84577121393377,26.51612879852983,-79.33724637485649,214.0,-0.04715612080586171,-44.26443158449494
2380000.0,-86.86513591799483,28.84213194467571,-82.56211951570657,214.0,-0.017481877922337626,-44.49266437990075
2390000.0,-89.87239538319743,31.17540522696897,-85.7397801980326,215.0,-0.03701215071543262,-53.45038884964721
2390000.0,-88.47653417627649,26.74361294924671,-81.20315104412808,218.0,-1.2617915889037237,-97.27577766584331
2400000.0,-109.98570053225362,-285.5796620577238,617.3847818650689,219.0,-0.06329282968890482,-116.48887887507851
2410000.0,-104.90490593910387,47.67984670749761,-91.986788298652,225.0,-0.9459313717331426,-190.69689232124063
2420000.0,-112.6979034951086,50.27873390142745,-98.68944670678515,225.0,-0.3805719284718263,-196.30473817905894
