X,Y,Z,River_mouth_Lengh_m,Accumulation_m,Accumulation_max_m
0.0,0.0,0.0,0.0,0.0,0.0
2095914.7115940875,1004501.8438864843,-18.152490935062648,1715486.9181470932,0.004224125565209104,0.0
2148028.284324738,1001378.0188572089,-1.0302372104801403,2361197.390139723,93.30004046981861,14.675563583392995
2148028.284324738,1001378.0188572089,-0.01156264865804965,2361197.390139723,93.39156266299594,32.032028198444294
2148028.284324738,1001378.0188572089,-1.6390873093741179e-06,2363073.2137892935,93.40989614461516,43.69011725911083
2169664.479249574,1019179.0124717883,-2.0937796775383803e-05,2394270.7070934605,126.34598339077891,59.80648317164006
2181341.973099666,1019150.4801760189,-0.0037917184048027576,2405948.2358008046,139.84800490427193,67.46649360027469
2175634.2387999813,997687.9774168159,-0.00018598783549108108,2416783.069906937,144.43661801961497,81.20848114997216
2183056.3721402166,1004161.1639652929,-3.2213347830091514e-09,2415751.985093879,144.4368424010443,87.14202081646951
2193722.241329469,998999.7465615077,-6.446883207608591e-07,2436446.722103958,156.17623075384816,92.06132059941696
2211540.544439087,984633.2364613604,-0.0011603170505635324,2464804.6840900676,186.2452379269065,100.07953584502226
2219287.359358691,1017857.701558614,-1.2317243839835133e-06,2444536.8788266648,195.48664034603743,115.36279303420629
2203919.097860776,974266.9215533704,-1.9070500799327292e-06,2449597.9814755674,169.65118731135053,123.06619932475674
2221423.089674948,1053874.8811471693,-9.798965180286679e-11,2466555.087317504,194.50655946223654,135.64715236912545
2246274.7996964194,1043119.9061868045,-2.0066669102045015e-07,2498972.8768508825,238.31249193670672,138.57787549176163
2279488.87326143,1027843.2215027265,-2.4309648375032586e-06,2554571.3235668708,288.4549159071525,152.6011437163904
2283890.3963207463,1003877.8893704207,-0.00020606161834136683,2571612.601545753,293.3307198206406,173.73265979044413
2293523.569369311,1047765.3484864028,-1.0038862430870521e-06,2559828.7081446666,302.95979740370115,179.2510267962564
2247879.995066394,941829.5480911427,-1.1207173663119832e-07,2893758.5455466793,238.58098893409309,203.42381431791392
2281750.944672773,925761.3611147552,-9.856493115768032e-07,2613072.447616066,287.984307915028,217.60290013817885
2078398.8047211703,982103.3294787066,13.236817400097623,2325209.137562551,-53.812212613674156,220.86390149397073
2050916.1898873136,969524.5098162877,35.111880920552075,2287197.800103529,-83.47429692736105,223.01570117521078
2183978.7960458305,923562.3945135939,14.383111049856034,2535303.143925894,146.67600807414783,240.4127519629734
2219407.47874089,945510.2463911419,16.83561654848271,2533148.575880645,213.43660292961613,254.08866110348677
2425707.6515836795,1098653.004904015,-18.89170807577655,2853827.969346675,522.1008261733135,270.46722129930833
2066501.4827083389,974980.077496015,31.98015154600074,2418097.9880839637,-37.39173944668381,284.8409903600195
2247824.130157497,1107230.9653757364,5.751230144114249,2616058.077839216,242.28803382116612,283.2141592483199
2069499.6390509254,992737.7942165041,25.224893506557358,2314503.6621325538,-43.99613260451667,299.8139600290844
2328058.960262525,1075301.0589802382,7.946712530817495,2663925.4433573307,376.03758792558386,306.2581668453137
2444368.8362795305,878394.1519685478,-8.06303669503355,2773596.255849545,549.0736134794439,308.96552432937045
