X,Y,Z,River_mouth_Lengh_m,Accumulation_m,Accumulation_max_m
0.0,0.0,0.0,0.0,0.0,0.0
2095914.7115940875,1004501.8438864843,-18.152430296588104,1715486.9181470932,0.004165300127823078,0.0
2148028.284324738,1001378.0188572089,-0.6697719746472042,2361197.390139723,93.25384555030178,12.834134792680102
2148028.284324738,1001378.0188572089,-0.015271408244989525,2361197.390139723,93.39475360486092,31.27725841895029
2148028.284324738,1001378.0188572089,-1.2084236199238315e-06,2361197.390139723,93.3952493841692,40.740667860052966
2169664.479249574,1019179.0124717883,-4.159003902764036e-06,2390984.1433973303,126.33565758277751,60.29500085414831
2171897.8558758325,1032907.9764417602,-5.305953006165674e-05,2404893.5798648335,123.70616532559708,69.53019219942506
2172646.770254158,988303.6692857214,-0.02937935255515689,2391832.9551222995,130.60823368411167,70.7573035605493
2165351.3610260943,976492.1780470462,-3.932574961273929e-06,2392731.861640222,123.72245411572891,84.067423766869
2180536.5482572457,968616.3398194177,-2.057999828609089e-08,2409837.964031851,140.30991157686626,91.99089737957819
2192559.0660505476,975130.5186407705,-0.00045260864986119514,2417108.643955467,154.09117634421463,104.40170918402606
2211540.544439087,984633.2364613604,-2.8544818911086264e-05,2454442.2653312543,186.25636375397517,116.90300248431151
2218394.674967425,916651.0259518618,-2.357903341927047e-06,2490541.018059441,189.49541534533816,123.19028359474525
2218394.674967425,916651.0259518618,-3.308772876733429e-12,2551452.21828624,189.49541591315833,138.60301955371105
2230917.49067902,897062.8670963045,-5.409961159255924e-07,2519665.0302104196,205.49191652140345,146.64979009482428
2239823.5475977706,887172.9896088267,-1.1405055107243427e-08,2525456.5294651473,220.048350441057,156.92888415456503
2244133.1644844078,878511.1994227007,-1.2262727484556337e-09,2537572.5043983236,218.41131804574664,169.27858198985243
2267912.0526306694,886575.6248108449,-2.804865050212952e-07,2588619.5551665016,256.40058997980043,171.47203208356675
2266303.617780543,897390.25035317,-5.5860361090434004e-14,2593635.354027828,261.1108685165618,176.56302499217492
2272826.5606901892,906164.8958779364,-3.992402758680807e-12,2588619.5551665016,264.3857982303542,176.78032230950686
2371312.952385433,846220.9806316505,-1.47580611152914,2734290.481524911,418.52525564510944,168.01242728380308
2459314.866273671,861934.4128097139,-26.625201866089004,3238417.6942755217,571.6664617361777,167.79585407097264
2503162.628213846,854162.634644206,-35.54003803630212,2916979.3950342704,637.2860966418065,161.4574285379998
2450089.9823521334,866071.3741573892,-24.005788747891017,2863175.1036652466,543.7780982247451,179.28236027004417
2397434.1222225805,853442.0677569096,-5.8705420249539495,2735328.959284491,469.77500479376346,217.7841975507523
2462459.5207317066,852325.870730004,-7.140273110012371,2819364.762186867,577.9683373790587,239.09094240725798
2531768.5053334855,850798.7732329833,-8.103924465078544,2908008.848531101,713.622709026969,253.8528496965385
2490327.690206115,768065.644413407,-30.28542560933926,3047899.8396320585,602.325334311452,261.51305996119015
4469570.430124126,925000.0,-2584.512490986938,3178233.721934069,0.24788967545145252,275.32475844758426
2155216.112690135,950330.0710089689,16.526656882909336,2513859.6494893627,125.91817900297568,275.52610153870825
2244133.1644844078,878511.1994227007,6.654965247771968,2687308.4832948744,225.95659222038287,292.10877332423496
2421367.83603744,926799.3637830258,-2.600153818508726,2915996.793305423,517.5449016601267,297.42302658731705
2563604.984708396,881858.3170308027,-14.764743866435635,3127778.049705428,775.3993256587548,308.2158835149225
2328194.6521886187,929198.1204312079,-2.08461921529627,2814913.1540599884,361.347231829417,319.2502716225692
2198919.288127154,881948.617894212,6.952750156849874,2624172.307273971,166.30238992116026,318.3668139386353
2288718.3319889307,880861.7592840939,6.192305607659158,2868363.3751863134,300.23974826472227,324.07915335104786
2338438.14483264,842066.4303980184,4.672181887565255,2832264.020304624,375.49613658636866,348.2735333042039
2530123.0074315188,632785.9698006801,-23.540639450614,3180844.5525166206,668.7562237559293,362.37543347548296
2428796.802057142,763377.2157340446,-7.371264155276056,2959092.0228774417,506.14811770992185,391.4119211762878
2477678.5209380398,781478.6997260107,-5.220725239471498,3004162.16278735,610.7133979767124,407.17295541224075
2430908.3493367555,781267.0843292243,-3.058700472471567,2953111.5130623,521.9650054592978,421.8084065556307
2425515.4425088717,793151.3301711178,-0.9023156906686218,2926582.192770295,521.7700985846602,438.3083935111895
2361467.836598542,802940.6596902313,1.054519033396551,2911667.682282831,400.678070154536,482.94852631838785
2049350.1539117908,1004496.2466804681,15.554223590161733,136018.01644751112,-52.10634855168136,543.1366457006775
2035686.534700107,1020089.3502927014,29.836733025673094,2325732.197194154,-108.4030130883839,558.1886006181129
2185039.9320061803,994560.174929803,28.089954302536427,2536879.9069382083,183.70392525904433,598.5811652097209
2340653.9650490126,1029732.4756029471,7.145158635891293,2773777.9717835,397.08640207027383,641.9181058006429
2079134.35074898,1024624.9669721522,39.17655675071374,110473.41038229543,-39.931960537125,668.8685840702104
2175916.3374935086,938657.9329311858,22.880287526836547,291417.8052432494,160.0997463722983,700.1947854013471
2369663.8970533106,934347.7379471606,6.940614944546288,3072706.9887572955,442.8642935509271,759.3168925293687
2673619.954575651,872124.9873544789,-10.021988415684755,3518538.625027179,1012.915959803272,789.4935066987267
2750373.156139927,875762.7976449461,-23.204935709814432,3620491.040172031,1174.719370383615,814.8019233854974
2344910.282689053,915074.5438757263,2.7960365439493393,3039051.9632068966,387.32057873146516,837.941276554905
2649284.5613111476,976387.3426089057,-5.65845672519489,3476448.167685043,987.0928126262687,858.8823365600084
2242733.4769326886,1019164.6486033886,22.673590717865952,2766572.6967658782,253.41504308480046,881.4160830707692
2303774.148620377,916244.0109083981,20.704356060992676,2883919.4382238463,336.67228190841615,927.0634625594064
2329268.189801798,1023460.7203908924,18.424375646047164,3031524.1324983323,390.6936338889781,965.4182076130928
2568953.742370061,979877.4954344109,-0.25904856563725515,3401375.5829586596,819.6792870255659,991.9596571577342
2778577.000978934,940498.7606666101,-21.340280877089675,3686430.7269475632,1259.165953137023,1017.6529461533058
2821105.758750594,955630.6976465591,-20.052346823574844,3732682.6864830903,1361.6455053604618,1037.8361602646403
2810386.6202455303,1016097.9314658836,-24.709776477089132,3792376.3779289136,1322.6571532722312,1056.0589660050296
2798385.7915078057,1086189.5186825998,-33.576316404921805,3893648.6744453246,1288.9663611347646,1069.284396901881
