X,Z,Flexure_sb_m,Accumulation_sb_m
0.0,0.0,0.0,0.0
2510000.0,-669.5988501081714,-0.08069128303722853,-10.972989526264689
2530000.0,-684.2581378857698,3.2078865157570906,-26.860779204822514
2530000.0,-671.6645794958908,4.8134582287977095,-28.989487320080183
2540000.0,-691.4074223689898,1.320074853266628,-22.90495951960707
2560000.0,-733.2910036129707,2.8017042519727453,-37.978291756462475
2590000.0,-786.6398411501376,4.381513369668536,-41.99747018749054
2460000.0,-500.91342208355456,5.861102531895775,-45.600724112660416
2460000.0,-490.83743334364607,7.574259792538409,-49.080187100756184
2460000.0,-481.7499691114898,9.416471572046067,-52.5794334025213
2460000.0,-470.0096505158096,11.29780517678949,-56.052209631571316
2460000.0,-459.87790942816514,13.280831185850454,-59.47185344061643
2460000.0,-446.0445118520408,15.362499394776682,-62.854575188058824
2460000.0,-430.87574040018035,17.495477617266697,-66.20960922539996
2460000.0,-406.64273260967883,19.680626163985135,-69.54052875581918
2460000.0,-377.72355642153883,21.913810492595033,-72.83673448247826
2460000.0,-345.20668414925973,24.201340888698667,-76.09464456998616
2460000.0,-304.89667696569285,26.515132052364272,-79.34026060400281
2460000.0,-265.5853262633723,28.841880619358996,-82.55587875994384
2460000.0,-234.3282660669758,31.174541116817956,-85.73188699412468
2460000.0,-250.3617702779108,-272.79296799036285,549.0904332596594
2460000.0,-231.7020961781901,-288.35927284237874,587.0190519644149
2460000.0,-217.03301593470715,35.31260079428875,-70.96397444603453
2460000.0,-214.07179997513913,37.3452140828121,-82.35736647820833
2460000.0,-198.1278897799061,39.172749697727774,-85.21006708979215
2460000.0,-181.8090228480024,41.1653628660501,-88.5694443920089
2460000.0,-177.25041087420695,42.955583676740524,-91.1791260847721
2460000.0,-163.30060581719954,45.080909159498745,-93.20894671275927
2460000.0,-149.3016504789671,47.25279421013583,-96.55538751926565
2460000.0,-147.75084268460827,49.47087878908703,-99.8871749061496
2460000.0,-157.3239406138483,50.3584359170825,-93.943037345959
2460000.0,-162.57958526908988,-294.3586231953544,525.677197549526
2470000.0,-173.52021577828745,-302.45157320901643,540.6215502230435
2470000.0,-169.4220282343336,-311.5935522900859,559.6110596501549
2480000.0,-180.6364761090387,59.51930944270426,-67.25752163113499
2490000.0,-188.19271759576836,42.6700120095106,-53.61382232540797
2490000.0,-175.30064081222343,44.970465473698276,-55.74716606077343
2490000.0,-174.08703146466405,47.00733406427934,-58.25610068127593
2500000.0,-201.52312185023928,48.906078823888606,-60.61618333244704
2510000.0,-205.2620538929894,51.90883629145344,-60.24545293970795
2520000.0,-195.0035640768118,44.89459031615327,-52.61939046457661
2520000.0,-181.20551802443862,47.21653514375602,-98.68883823521844
2530000.0,-197.46746931559827,49.06699790357102,-101.69573666585491
2540000.0,-212.17302531079034,50.75796306506155,-106.53575043212884
2540000.0,-208.19963073720902,52.49202102902984,-112.18126059434455
2540000.0,-202.31201253959574,53.9342204379942,-115.6589704868688
2540000.0,-200.96494785765225,55.445167100520926,-118.48959547400064
2540000.0,-197.8092764217884,56.8616786608072,-121.40948746023157
2540000.0,-194.54136413229435,58.24489808508365,-123.26394534610293
2540000.0,-193.04169917853807,59.67505497382048,-126.04243463622576
2540000.0,-193.41566570648604,61.1168780951765,-129.68582977464138
2530000.0,-161.38666522970252,62.64968760153817,-134.2450023608291
2530000.0,-164.41915394511926,64.13171780197526,-138.85814463918973
2530000.0,-171.33367970383904,65.4955417088957,-138.40223472861172
2550000.0,-252.29212300884762,67.11686855717242,-139.4198211214358
2580000.0,-286.75481703428005,68.6650281441884,-140.56532383455513
2610000.0,-300.57239282228994,68.8034273270851,-121.85561739259029
2630000.0,-319.72788644121454,69.57369961867761,-121.6434565102699
2640000.0,-334.88377176863145,70.20447665911716,-123.49298591994634
2650000.0,-320.7641520828577,71.15881149157713,-124.42962980674935
2650000.0,-299.98109640190523,72.09749727676402,-126.5491135964667
2670000.0,-316.4550241159699,73.34137513630185,-127.85965225541499
2670000.0,-286.0513276088785,74.49544426684994,-132.8788470708479
2680000.0,-290.2703408635343,75.62214427105972,-135.19696858651741
2680000.0,-274.73137372519955,76.77499579077198,-137.27790273538116
2680000.0,-267.71884371248973,77.93974433916424,-140.24496871248974
2680000.0,-264.3025896911054,79.14698851266918,-143.6419187843918
2680000.0,-255.51337992002058,80.43113296579023,-147.27098468221595
2680000.0,-254.44120592940476,81.80250875254862,-151.33294017115418
2680000.0,-254.80182162296654,-708.7041544187466,1348.053130907568
2680000.0,-242.75914942420246,-734.9086650919147,1394.736479977769
2690000.0,-246.11642915254154,-734.2985926800891,1354.2531888905737
2700000.0,-259.03659401551676,-740.3017351481261,1369.759165623858
2700000.0,-249.5440436227138,-722.584340790149,1313.061978887133
2710000.0,-263.25160017799817,-734.4577739471923,1336.6554602301028
2710000.0,-237.58571213522302,-763.0630992035071,1402.9502699738812
2720000.0,-235.7360025661689,-787.5051820861062,1459.4784123854286
2720000.0,-222.1708927924038,-807.5955550409418,1498.0947100942665
2730000.0,-238.03058510781457,-807.1250958585446,1513.0066967523117
2730000.0,-189.19417019981947,-817.3687740723694,1580.5415368277897
2740000.0,-173.9280403927039,-849.4539077514497,1664.5327032882162
2740000.0,-154.6563453596552,-879.6908108992055,1724.5660219886072
2740000.0,-149.51592512325402,-904.0840013872994,1760.7454027937424
2750000.0,-159.06151699101528,-917.6002193749447,1784.7395068165365
2750000.0,-151.15582952371432,-931.5942673987337,1816.5384356877205
2750000.0,-148.15730636698615,-941.4699366385258,1832.8601788070623
2760000.0,-165.9740623245924,-950.1931712174321,1855.1859021635107
2760000.0,-160.85404151091407,-958.5634206557262,1873.4032467372087
2770000.0,-172.75768306535392,-966.9454674856167,1891.489806650871
2770000.0,-169.52844746821896,-974.6765374743082,1908.208773163014
2770000.0,-160.46128657802527,-988.7025407186396,1936.5657552255639
2780000.0,-176.12811562500343,-996.1143234179334,1952.8654816110804
2780000.0,-170.383423841944,-1007.9573155206102,1982.812907508251
2780000.0,-167.09705719286146,-1007.7519242591894,1988.4347162695638
2780000.0,-162.0700955270177,-1002.9204716023244,1988.4341118374377
2780000.0,-159.23078860414682,-1000.0632480675135,1988.4335071407143
2780000.0,-156.84204913781574,-998.109653661621,1988.4329016602555
2770000.0,-137.44159096609732,-999.8758834440835,1988.432293594587
2760000.0,-119.55763425478241,-1003.2824346008856,1988.431682856599
2750000.0,-99.19367168980008,-1010.4298015656789,1988.431070431739
2750000.0,-104.0158085621768,-1024.497598026633,2014.8486237105667
2760000.0,-135.4488479446718,-1078.5073042030117,2168.471587652002
2780000.0,-185.40059423738612,-1059.596635223896,2084.402915284133
2830000.0,-270.42862258030374,-1082.344868216374,2139.9890653648267
2840000.0,-262.122300870217,-1105.068835475488,2184.8388012104783
2840000.0,-238.4697231449213,-1136.9788312663727,2246.284542752271
2850000.0,-251.74438804799559,-1150.2831966783067,2264.9030218060147
2850000.0,-244.45301468398216,-1160.3070731378612,2287.406735860034
2850000.0,-235.0468559197156,-1177.8386004607628,2322.3582324841104
2850000.0,-230.6845710256684,-1174.6513130236258,2322.3691921749823
2850000.0,-233.04755928133994,-1177.111776262521,2322.3693031768853
2850000.0,-236.04471413824697,-1180.4798428583495,2322.37095579531
2850000.0,-235.93293300662128,-1185.4006286169972,2331.7091262962904
2860000.0,-245.80324353201357,-1205.5867929375963,2370.5003403440796
2860000.0,-238.32159021394355,-1222.3781766265931,2395.263637143834
2870000.0,-245.04332074756087,-1232.8802560688264,2431.5027952447385
2870000.0,-242.13452272915265,-1236.0555537460136,2437.953575115264
2880000.0,-274.2859383850474,-1257.718464785432,2483.9281384599885
2880000.0,-270.6645955373661,-1257.7463832672274,2489.8773110844872
2880000.0,-267.40996834247926,-1264.293119730513,2504.160415802354
