X,Y,Z,River_mouth_Lengh_m,Accumulation_m,Accumulation_max_m
0.0,0.0,0.0,0.0,0.0,0.0
2095914.7115940875,1004501.8438864843,-18.152430296588104,1715486.9181470932,0.004165300127823078,0.0
2148028.284324738,1001378.0188572089,-0.6697719746472042,2361197.390139723,93.25384555030178,12.834134792680102
2148028.284324738,1001378.0188572089,-0.015271408244989525,2361197.390139723,93.39475360486092,31.27725841895029
2148028.284324738,1001378.0188572089,-1.2084236199238315e-06,2361197.390139723,93.3952493841692,40.740667860052966
2169664.479249574,1019179.0124717883,-4.159003902764036e-06,2390984.1433973303,126.33565758277751,60.29500085414831
2171897.8558758325,1032907.9764417602,-5.305953006165674e-05,2404893.5798648335,123.70616532559708,69.53019219942506
2172646.770254158,988303.6692857214,-0.02937935255515689,2391832.9551222995,130.60823368411167,70.7573035605493
2165351.3610260943,976492.1780470462,-3.932574961273929e-06,2392731.861640222,123.72245411572891,84.067423766869
2180536.5482572457,968616.3398194177,-2.057999828609089e-08,2409837.964031851,140.30991157686626,91.99089737957819
2192559.0660505476,975130.5186407705,-0.00045260864986119514,2417108.643955467,154.09117634421463,104.40170918402606
2211540.544439087,984633.2364613604,-2.8544818911086264e-05,2454442.2653312543,186.25636375397517,116.90300248431151
2218394.674967425,916651.0259518618,-2.357903341927047e-06,2490541.018059441,189.49541534533816,123.19028359474525
2218394.674967425,916651.0259518618,-3.308772876733429e-12,2551452.21828624,189.49541591315833,138.60301955371105
2230917.49067902,897062.8670963045,-5.409961159255924e-07,2519665.0302104196,205.49191652140345,146.64979009482428
2239823.5475977706,887172.9896088267,-1.1405055107243427e-08,2525456.5294651473,220.048350441057,156.92888415456503
2244133.1644844078,878511.1994227007,-1.2262727484556337e-09,2537572.5043983236,218.41131804574664,169.27858198985243
2267912.0526306694,886575.6248108449,-2.804865050212952e-07,2588619.5551665016,256.40058997980043,171.47203208356675
2266303.617780543,897390.25035317,-5.5860361090434004e-14,2593635.354027828,261.1108685165618,176.56302499217492
2272826.5606901892,906164.8958779364,-3.992402758680807e-12,2588619.5551665016,264.3857982303542,176.78032230950686
2047560.713196856,988400.4975508379,55.61087805877177,2335205.918953235,-45.45844461517115,168.77123937310657
2053099.9224510079,1025770.6054960936,62.003660608022024,2366819.424687083,-68.10803951078252,169.8762842910635
2047702.5457333324,1015308.1476809714,62.294074610286486,2380624.3729222207,-48.87083489361376,174.98913064175863
2195932.6225856696,922565.1869137046,52.53786192817551,2551125.202224779,215.2377395847777,190.410139394275
2152673.924175721,966518.1939065884,55.93446557085202,2486092.879578718,147.3332081310298,200.8545189179567
2280500.8469104827,974131.504694412,46.68464096474565,505264.22000480787,343.73554429265687,204.98773486931142
2172759.286243663,917333.3101063458,53.90518441857114,2548156.4246813636,174.36997042616952,216.95229038553
2242306.596835354,778749.3392822772,43.44289573508775,2763477.3344137454,247.4732151827244,237.45206206919252
2280424.412788431,734505.7568566226,35.071298288103755,2860434.754535054,292.3581590570582,245.3966306071126
2260418.1706628692,755389.4906661636,38.94434909862438,2798081.029079836,267.4971944240523,258.60280827134767
2121233.4690326513,977028.4295961868,57.62880425503977,315718.88233908673,15.524206671199636,271.460234592435
2050916.1898873136,969524.5098162877,70.55004655980596,2329522.3434036886,-61.12042171308446,272.573742744606
2075654.2901598762,973190.1081589197,72.36636612055565,2355361.094308064,-30.342734350330772,281.6136003287234
2059018.5539049422,984495.2626995991,73.44692584777472,2336123.0360459695,-32.88059653710991,294.47172426545427
2059018.5539049422,984495.2626995991,74.41852487834673,2348528.53226157,-40.286683405572475,297.8246498499693
2071980.6911835095,1014556.9245514579,75.47856308236108,2355129.0309852236,4.637597964259197,300.25035270165654
2399100.2216999503,953545.1713213508,48.66552965713925,2791262.189617417,541.8472687783166,304.4762252997685
2432085.6899207938,998235.3304009186,46.636426874730496,2853377.850852873,599.5749116039669,319.5991960421723
2240459.7074021385,914390.738830105,64.3742311226349,2575223.653644707,285.06714878900044,330.7203571395919
2038567.794109524,958561.768701938,83.53375102270256,2327735.890075894,-69.70201380013779,342.841318650346
2050916.1898873136,969524.5098162877,85.15837659586052,2331713.7430611188,-50.19341047459193,353.49858159908575
2252369.726340632,742180.1217153512,66.74076343905442,2718192.756874078,276.3180102908736,383.5057059467787
2242306.596835354,778749.3392822772,68.61955446077954,2681635.4286221648,272.0496083699068,412.3358944686946
2251513.5970448884,812575.6637283302,69.74587424105705,2654791.43341168,290.02642400039264,483.2228427189302
2304874.996678108,869870.4116642452,69.2641145567649,2765999.539782554,379.5882178611149,521.6511468963176
2460016.7604607563,999587.4086338084,51.455828235677174,3459621.8011118113,659.9011405318772,536.9843613483508
2503337.8650862034,965945.1344996071,49.92292845028976,3145846.3104030574,735.7467583841652,561.3039867237587
2553405.2693221057,860565.6325425303,41.88338709302239,3291271.250816928,808.115817716266,580.8783865603525
2612353.8647201364,829658.6444473325,31.10558014523425,3401430.811046805,928.8772173562621,600.1627819158832
2668420.20557146,811511.1524314081,31.182687641089196,3473857.0503204977,1041.2665940093361,619.1120975612682
2677972.470969155,750297.9547786904,30.17286635332853,3540794.446179346,1052.7836961136952,639.6826229856822
2636747.3495043456,821990.6450382872,32.96998159353572,3430161.573741073,982.8431161631007,647.8153660105534
2586780.746475497,825459.7413927697,35.89390421409987,2875352.022275773,881.2585406005273,686.5732870579596
2546984.9362881905,869264.9640955573,41.903334022531425,3280459.264610135,809.3437160000169,761.0457692771272
2495406.3848332902,961596.3651759954,49.31660557762142,3155391.1088980986,728.8556569658164,808.8586803246255
