X,Y,Z,River_mouth_Lengh_m,Flexure_m,Accumulation_m,Accumulation_max_m,Flexure_min_m,Flexure_mean_m,Flexure_max_m
2117287.92513306,988865.4896597528,-0.005884074984129517,2306284.327176349,-35.09814095924375,9.27451955603438,229.748098526778,-222.73374622053248,-40.706741527274296,69.06620499367587
2127979.4985894724,984491.0727713844,-0.05590991046416145,2317836.1783737587,-42.417492571858375,8.870353440935627,230.77956129122984,-237.88594744051184,-49.53657798488107,71.40756370689111
2035829.0039167313,985422.8198164792,57.63786288775812,2671272.7864959077,16.27256900096884,-58.79666428035857,240.19142851176346,-187.70236142576618,-1.5218014987329216,62.763866610214805
1995779.7676528168,995965.231067025,63.20694395616923,2256636.685834672,36.74687454298799,-59.064612642755876,244.54863286301676,-145.89381323742333,18.122124178176485,66.71653224127982
2034426.465338625,970392.5854659639,62.2369821223172,2312692.7603566367,20.450246478067555,-99.38067750925461,263.04706185743174,-204.512812064786,-4.130257088825302,68.57227651331321
2147578.264826708,861594.8797981489,51.22963930131053,2519124.6215529023,-87.2128724376437,200.96506371467237,287.06634565625535,-300.11229558655543,-85.96383182215402,60.70576290765353
2104727.918636779,965573.8036667462,56.024498209916956,2388993.9440042437,-42.97868035681743,25.447362307714478,299.8944562896318,-284.539426634845,-58.92153581969011,69.71790591109755
2181425.9382232795,977549.1106775699,49.708631177447245,2506776.64079664,-151.37749845866844,345.668892232244,314.9764317249923,-344.3153780802568,-135.99802690755416,50.58141973542607
2101069.7655969295,936810.1566320899,53.865187630845945,2405972.8117473405,-42.38236867048248,6.939478172758484,318.80583340038214,-299.91404637714936,-57.18377552274633,76.70994301246306
2236282.0917487578,905770.3164134125,42.04677703133952,2585150.5165876932,-231.39489246377664,494.99438216751685,322.6665211902962,-378.60589191635904,-195.5036633541726,28.311220470054693
2285528.4157061726,934168.3694234138,37.6069665870826,2651857.349872349,-297.2484114871382,632.5256771823878,319.8878547302735,-393.2352999493523,-250.66770031042608,-24.658131287694637
2213125.645184264,953945.1593508678,38.54400122460127,2538158.614248192,-200.4811807646378,421.4712252110128,324.54846590317896,-395.8262134731899,-181.536609232276,42.21462037300991
2073525.601324536,956444.413479862,57.279014729736325,2360994.017420218,-7.113001640421181,-46.551647489694,328.2831786140466,-297.59405097471677,-32.04166946328772,94.24693127346929
2024832.99627217,978460.0621819891,70.04378421019167,2300158.0553623964,36.92082735549856,-107.20327611219786,336.2491688403431,-235.34971905345162,8.363783542358822,104.31088908422493
2039333.8120624681,996213.9114925074,71.65047901795603,2321858.3543383204,19.842959732360605,-16.43547906188871,350.61023623391617,-260.9809659127207,-4.32432894045439,103.51025559279792
2016868.3906351891,985383.3857239982,73.17206981265294,2303373.429568465,36.23884268619263,-68.68160103052054,360.3218845696748,-231.5013602033556,14.0793568208531,108.00760440473329
2016868.3906351891,985383.3857239982,74.49867145382342,2303373.429568465,37.36821561281955,-77.84910891273935,366.0143931244737,-235.80056216611388,14.728999185926504,111.28422114662644
2042967.3301295326,941907.9031109426,75.54613672525373,2338124.970744746,20.524759846258885,-82.33630011476774,370.4338993846911,-287.1998382281344,-9.284523187532926,107.99692452720268
2208391.1232700273,751245.2108445909,45.41102871106908,2685160.4545689058,-172.56303613788955,371.4931365539051,374.0072874287415,-422.39694531330576,-160.49618464206029,83.24935472104394
2184512.0665250416,791420.8297737256,47.991930984579746,2637404.247743926,-144.53468616769214,308.39149624259204,381.1104028079797,-418.26179782071995,-148.2760315596334,91.35680413179423
2142779.632129678,915474.6870204607,64.2836885692051,2471405.827426373,-116.79937422769352,176.97583670901193,394.8818690501059,-421.2375020369745,-121.05554229756025,96.33657556332642
2022500.4520093936,994307.9157674883,82.2622760855061,2284139.465349376,37.93392495174574,-50.97354563405627,401.88084338652544,-265.0742761344345,11.35899671389729,120.9273447387756
2024832.99627217,978460.0621819891,85.19036986152797,2290787.1489946945,37.077588721381495,-85.29067082356416,403.7721556785367,-269.87108313266594,8.493074917486116,123.72392594894384
2201542.5460321233,1106165.6420043514,64.25882417643618,2556315.145747356,-209.82780864836954,431.42336718685556,418.95969470432965,-477.04429377108835,-198.92816870631887,75.9459586945244
2177383.244385861,1048667.753297206,68.50791894649436,2499511.607559909,-194.75577225757894,401.45118632450107,432.6218124502991,-474.22742981938796,-177.7678234239489,80.88455703513607
2172476.5358018004,1072736.8236285856,69.5482855829467,2494129.940839338,-173.1557130595644,362.8635384833192,445.15830913260794,-473.76066805407385,-170.16859327846853,91.6380640841507
2161144.703977132,1067132.9406484233,69.27330871822356,2481488.1879166653,-152.52703865431295,325.3427308615082,458.0453857325222,-472.9950010471279,-156.36956104346254,98.99379494399211
2263362.685763172,1279133.1833220187,50.98752917284573,2777232.86803566,-256.9016974447442,530.5159945808025,472.5019123507163,-473.66625181289925,-232.46769974210633,61.54349003624281
2218705.2613129304,1256986.2303948263,50.14654847937605,2744627.797005118,-203.79214549601326,416.5018372080235,481.73931797914713,-457.9388077024989,-188.3632504061306,101.8159245081094
2282401.1057633697,1332041.1837762352,43.929895948749426,2850811.7228490217,-275.1294722991347,560.8204166699165,504.2117932387382,-465.27273113906045,-246.59657221198447,50.55079956677514
2315198.98804391,1346991.3901701993,36.88918478013248,2887350.524854079,-326.77377819940835,669.3685722094384,533.5777283434768,-477.0249417813281,-282.55800185715555,10.799148856170822
2293843.6030454794,1334226.5143026346,32.9447248610378,2862461.032423443,-299.43284613389517,592.4801575921437,562.8274340331484,-480.53937845930204,-270.7800514647299,39.74584023127388
2273202.2630741736,1324270.0492695104,31.824163250749088,2838769.74467506,-275.09479173485676,543.0639505498871,592.5186344223476,-484.1175246707703,-252.85929943599191,68.31128042652617
2264061.740325846,1300665.5811129187,32.67719325877698,2814243.4378801696,-267.89852372278574,521.5052642864397,622.5241222371748,-499.4102979776515,-251.73078073824774,77.01587499388152
2233964.171453179,1307180.8244475808,35.63799265447988,2800558.8093529306,-210.3374887150718,420.7567281685845,652.1899429977142,-489.39062427255215,-206.53624525988315,113.60395887857993
2247462.2966183876,1238345.3668278689,41.01059265552424,2727269.0432611834,-272.35275563519286,528.992820809481,675.8518440130209,-520.9506889663704,-248.59516232945026,86.18590204819922
2212927.1970472424,1186706.5161019426,49.65952706120011,2654381.50296844,-208.88009823465055,420.2479593190961,701.9334099194214,-515.7587903292157,-210.60948852640556,108.05675022928368
2140877.3848293074,1066187.9375428467,59.878601401562165,2457128.031798226,-118.66979618906501,187.7151797407872,733.2762835183769,-456.5689777876477,-118.90129227655119,135.35624078943616
2128978.4437900833,1043370.1831689026,73.77159223157629,2445562.729121657,-99.66461914008649,131.0791671178995,758.9700272368731,-442.1829916016213,-104.87573737647142,137.51703465757484
2118080.739492272,1059590.0506255492,78.33577930925856,2441593.725346455,-78.9967530791996,88.98761663915413,787.5805015517338,-433.4966770923348,-89.30779122606631,148.6988696492624
2099998.1436634264,1045707.6741852429,81.16540479944362,2415346.145210544,-48.11157039080846,39.71514969842689,813.4114718143875,-406.9983591507335,-64.31083928472056,154.7916154638527
2099998.1436634264,1045707.6741852429,81.92834797593225,2415346.145210544,-48.501497545483,43.453707049000954,836.7525938421626,-410.7679334515717,-64.73165853411581,157.00747587497128
2091510.076000158,1053023.1329949438,82.42727092585406,2423124.695893452,-38.65533359077728,23.4838232845772,857.3712294967198,-414.4574201806224,-52.670658720212124,162.79973984434196
2320425.9627922145,1107469.762729732,66.09609578344354,2707943.336119596,-450.7464618198773,859.7043089845706,886.1441501220811,-687.2448011840212,-428.9741379852686,-79.80763269341668
2403425.1167730098,1122847.5819951447,57.28872964171253,2835519.975193519,-576.1182164521697,1117.77699002926,906.4858270104784,-733.2748767848882,-544.4540385424375,-237.30220452682522
2463878.4128265544,1127113.9170362467,51.46126499385633,2904623.662779959,-651.148704016609,1290.4946638710305,937.4583148291463,-756.6020873553895,-615.8090480495429,-357.29960021504945
2424294.416269899,1130917.4383743054,47.97193549127635,2862502.413659133,-606.6370459532018,1169.1102195643075,972.134510250501,-769.9935597954046,-578.6760697946461,-272.31286962269326
2419631.742950352,1142910.0506866372,45.80030109059305,2867153.301011108,-608.1787061269257,1166.6197690503657,1005.5879335607733,-780.7737977667807,-574.4836503382263,-261.9234925130092
2403425.1167730098,1122847.5819951447,47.539094630447785,2833410.5607305057,-586.6801306112018,1117.2822822433177,1038.7915395839188,-788.2506098219118,-559.7703874349917,-234.88732220784868
2352168.426871844,1100022.381448627,57.411803533378624,2749914.65658311,-511.3204276318738,961.5094201296318,1058.1271569977657,-769.3350185671204,-488.5262606934326,-136.32077771271244
2320425.9627922145,1107469.762729732,58.93934406063825,2707943.336119596,-455.46467652174726,855.285528606491,1079.9779740685801,-752.0944807500991,-440.32246240799054,-74.90581492238708
2184945.3768673893,937804.3468969445,69.23287501057435,2550471.6161311036,-198.81113647138667,408.55917414019154,1110.7482852267408,-563.0578890889643,-200.48510941342695,114.75437757031303
2071980.6911835095,1014556.9245514579,84.68305344501422,2370434.8417202486,-2.1331825437368446,14.610384235882803,1151.7361978755737,-388.0706812168001,-18.36012422189212,189.54716945338507
2062172.0607469627,946852.3166282995,87.59563858702316,2367958.1262597386,15.870701142812614,-52.47212012319396,1218.3719561693952,-368.9527753786573,-4.677455963186119,200.01855551403654
2207827.3778524757,921014.9646442783,80.80877567073307,2559970.04819234,-263.40136876524423,521.6666335122054,1303.4747983073503,-611.6488024161679,-247.4808428934324,97.87961244960277
2102653.372560551,946204.306326849,83.72042922978636,2415412.543370284,-53.006247914879275,56.748370832882436,1383.247525091947,-443.3975547571563,-65.39963492575328,183.73532968790124
2092315.0224674975,933053.5182091857,86.3588835219039,2412088.1374808047,-29.937011765710213,10.3885986932873,1461.2526774962491,-435.2693717183172,-48.51084569562319,195.5494843845825
2051225.0005493008,954430.7248508453,89.08298488497672,2354643.83325715,33.67436677121304,-82.04892407484449,1516.3336915308685,-359.13345810020934,12.548991581978662,213.61801874654495
2035686.534700107,1020089.3502927014,91.84627786858346,2333434.991182053,45.8978286051978,-100.27357478447419,1548.3119161353338,-325.01819838174725,34.001161119586676,217.57198136000213
2052922.2210315499,1040403.2823464066,93.64504488159808,2366713.8042056505,31.87978547140168,-78.72679589091624,1589.307203417937,-360.424176656167,8.476937105131478,209.01759765801202
2271585.048777268,759181.2081919275,76.91126643689246,2835678.2504439875,-359.81310347936505,684.379538751382,1637.160826542773,-688.102450376446,-340.9480375020934,68.19677454702955
2493533.013380972,1037439.7905298948,39.864383156284966,3263742.9416336156,-750.2154067112057,1451.6493458710759,1685.5244023834678,-923.7233795616484,-728.4822340439073,-448.02611928248115
2525737.299315213,1056134.3682106906,34.915620585468005,3320406.010263303,-803.3782085605893,1570.2638621801582,1712.7755966778366,-953.1628649715161,-770.6282348158227,-496.1121890112224
2473453.425657257,999480.3578385595,39.15206071868799,3219192.513233124,-727.8972862394405,1397.4649170074556,1763.585721804291,-955.7013217721653,-711.8933427300254,-408.5671183259639
2351477.8638782753,857588.7442407025,50.42645047969153,2993256.7057683403,-528.4615472184788,977.6564429312334,1869.1899617331455,-826.4389983352146,-507.00853968495414,-133.01978769968267
2426408.6976968055,899982.3295945568,51.18750529994846,3102772.065418423,-667.2465479302039,1259.7950996224063,1941.8533077097443,-934.3402575091528,-639.2140036841976,-296.7333221629978
2414104.051436694,860243.3103120307,51.78035175874825,3064339.589605402,-625.871282976587,1174.8547695320542,1988.2034160662888,-921.9036442474728,-616.129343803428,-268.8094971100626
