site,age_ka,oxygen,delW,sea_level_m
Vema 1930,0.000,2.870,0.140,-10.860
Vema 1930,1.310,2.840,0.110,-8.460
Vema 1930,2.840,2.670,-0.060,5.140
Vema 1930,3.570,2.790,0.060,-4.460
Vema 1930,4.310,2.630,-0.100,8.340
Vema 1930,5.450,2.760,0.030,-2.060
Vema 1930,6.130,2.750,0.020,-1.260
Vema 1930,6.770,2.650,-0.080,6.740
Vema 1930,7.710,2.920,0.190,-14.860
Vema 1930,8.900,2.920,0.190,-14.860
Vema 1930,9.480,2.880,0.150,-11.660
Vema 1930,10.030,2.890,0.160,-12.460
Vema 1930,10.550,2.820,0.090,-6.860
Vema 1930,10.980,2.840,0.110,-8.460
Vema 1930,11.500,2.820,0.090,-6.860
Vema 1930,11.880,3.210,0.480,-38.060
Vema 1930,12.260,3.050,0.320,-25.260
Vema 1930,12.600,3.230,0.500,-39.660
Vema 1930,12.920,2.780,0.050,-3.660
Vema 1930,13.240,3.340,0.610,-48.460
Vema 1930,13.540,3.260,0.230,-18.030
Vema 1930,13.840,3.230,0.200,-15.630
Vema 1930,14.130,3.250,0.220,-17.230
Vema 1930,14.430,3.740,0.710,-56.430
Vema 1930,14.730,3.460,0.430,-34.030
Vema 1930,15.020,3.610,0.580,-46.030
Vema 1930,15.310,3.520,0.490,-38.830
Vema 1930,15.590,3.800,0.770,-61.230
Vema 1930,15.880,4.090,1.060,-84.430
Vema 1930,16.160,4.000,0.970,-77.230
Vema 1930,16.540,4.200,1.170,-93.230
Vema 1930,16.830,4.270,1.240,-98.830
Vema 1930,17.110,4.280,1.250,-99.630
Vema 1930,17.390,4.190,1.160,-92.430
Vema 1930,17.670,4.150,1.120,-89.230
Vema 1930,17.950,4.580,1.550,-123.630
Vema 1930,18.230,4.560,1.530,-122.030
Vema 1930,18.500,4.440,1.410,-112.430
Vema 1930,18.760,4.350,1.320,-105.230
Vema 1930,19.030,4.510,1.480,-118.030
Vema 1930,19.260,4.490,1.460,-116.430
Vema 1930,19.530,4.360,1.330,-106.030
Vema 1930,19.770,4.340,1.310,-104.430
Vema 1930,20.000,4.230,1.200,-95.630
Vema 1930,20.240,4.480,1.450,-115.630
Vema 1930,20.470,4.500,1.470,-117.230
Vema 1930,20.840,4.320,1.290,-102.830
Vema 1930,21.130,4.310,1.280,-102.030
Vema 1930,21.340,4.430,1.400,-111.630
Vema 1930,21.550,4.460,1.430,-114.030
Vema 1930,21.760,4.250,1.220,-97.230
Vema 1930,21.960,4.410,1.380,-110.030
Vema 1930,22.170,4.350,1.320,-105.230
Vema 1930,22.370,4.360,1.330,-106.030
Vema 1930,22.570,4.250,1.220,-97.230
Vema 1930,22.770,4.250,1.220,-97.230
Vema 1930,22.970,4.320,1.290,-102.830
Vema 1930,23.170,4.320,1.290,-102.830
Vema 1930,23.370,4.340,1.310,-104.430
Vema 1930,23.570,4.290,1.260,-100.430
Vema 1930,23.770,4.290,1.260,-100.430
Vema 1930,23.970,4.480,1.450,-115.630
Vema 1930,24.170,4.320,1.290,-102.830
Vema 1930,24.370,4.330,1.300,-103.630
Vema 1930,24.580,4.300,1.270,-101.230
Vema 1930,24.790,4.230,1.200,-95.630
Vema 1930,25.000,4.320,1.290,-102.830
Vema 1930,25.220,4.410,1.380,-110.030
Vema 1930,25.450,4.270,1.240,-98.830
Vema 1930,25.670,4.140,1.110,-88.430
Vema 1930,25.900,4.280,1.250,-99.630
Vema 1930,26.140,4.420,1.390,-110.830
Vema 1930,26.370,4.280,1.250,-99.630
Vema 1930,26.620,4.190,1.160,-92.430
Vema 1930,26.880,4.120,1.090,-86.830
Vema 1930,27.130,4.170,1.140,-90.830
Vema 1930,27.400,4.170,1.140,-90.830
Vema 1930,27.680,4.230,1.200,-95.630
Vema 1930,27.950,4.120,1.090,-86.830
Vema 1930,28.250,4.200,1.170,-93.230
Vema 1930,28.550,4.090,1.060,-84.430
Vema 1930,28.850,3.980,0.950,-75.630
Vema 1930,29.170,3.910,0.880,-70.030
Vema 1930,29.480,3.890,0.860,-68.430
Vema 1930,29.810,4.050,1.020,-81.230
Vema 1930,30.140,4.000,0.970,-77.230
Vema 1930,30.470,4.030,1.000,-79.630
Vema 1930,30.810,3.990,0.960,-76.430
Vema 1930,31.160,3.710,0.680,-54.030
Vema 1930,31.510,3.920,0.890,-70.830
Vema 1930,31.860,3.880,0.850,-67.630
Vema 1930,32.220,3.950,0.920,-73.230
Vema 1930,32.570,3.920,0.890,-70.830
Vema 1930,32.940,4.010,0.980,-78.030
Vema 1930,33.290,3.990,0.960,-76.430
Vema 1930,33.670,3.980,0.950,-75.630
Vema 1930,34.050,3.890,0.860,-68.430
Vema 1930,34.450,3.960,0.930,-74.030
Vema 1930,34.800,4.000,0.970,-77.230
Vema 1930,35.180,4.100,1.070,-85.230
Vema 1930,35.560,3.910,0.880,-70.030
Vema 1930,35.940,4.090,1.060,-84.430
Vema 1930,36.330,3.880,0.850,-67.630
Vema 1930,37.110,3.910,0.880,-70.030
Vema 1930,37.500,3.860,0.830,-66.030
Vema 1930,37.890,3.850,0.820,-65.230
Vema 1930,38.290,3.770,0.740,-58.830
Vema 1930,38.680,3.950,0.920,-73.230
Vema 1930,39.080,3.850,0.820,-65.230
Vema 1930,39.480,4.010,0.980,-78.030
Vema 1930,39.880,3.990,0.960,-76.430
Vema 1930,40.280,4.070,1.040,-82.830
Vema 1930,41.090,3.830,0.800,-63.630
Vema 1930,41.490,3.890,0.860,-68.430
Vema 1930,41.900,3.890,0.860,-68.430
Vema 1930,42.310,3.940,0.910,-72.430
Vema 1930,42.710,3.980,0.950,-75.630
Vema 1930,43.530,3.950,0.920,-73.230
Vema 1930,46.010,3.880,0.850,-67.630
Vema 1930,46.430,3.890,0.860,-68.430
Vema 1930,46.850,4.020,0.990,-78.830
Vema 1930,47.680,3.700,0.670,-53.230
Vema 1930,48.100,3.650,0.620,-49.230
Vema 1930,48.520,3.720,0.690,-54.830
Vema 1930,48.940,3.620,0.590,-46.830
Vema 1930,49.360,3.900,0.870,-69.230
Vema 1930,50.200,3.900,0.870,-69.230
Vema 1930,50.620,3.840,0.810,-64.430
Vema 1930,51.040,3.850,0.820,-65.230
Vema 1930,51.470,3.870,0.840,-66.830
Vema 1930,51.890,3.900,0.870,-69.230
Vema 1930,52.310,3.970,0.940,-74.830
Vema 1930,52.740,3.930,0.900,-71.630
Vema 1930,53.160,3.910,0.880,-70.030
Vema 1930,53.590,3.810,0.780,-62.030
Vema 1930,54.150,3.810,0.780,-62.030
Vema 1930,54.300,3.780,0.750,-59.630
Vema 1930,54.370,3.420,0.390,-30.830
Vema 1930,54.790,3.560,0.530,-42.030
Vema 1930,55.220,3.690,0.660,-52.430
Vema 1930,55.650,3.670,0.640,-50.830
Vema 1930,56.070,3.760,0.730,-58.030
Vema 1930,56.500,3.500,0.470,-37.230
Vema 1930,56.930,3.840,0.810,-64.430
Vema 1930,57.360,3.820,0.790,-62.830
Vema 1930,57.790,3.800,0.770,-61.230
Vema 1930,58.210,4.060,1.030,-82.030
Vema 1930,58.640,4.050,1.020,-81.230
Vema 1930,59.070,3.960,0.930,-74.030
Vema 1930,59.500,3.870,0.840,-66.830
Vema 1930,59.930,4.050,1.020,-81.230
Vema 1930,60.360,3.980,0.950,-75.630
Vema 1930,60.790,3.890,0.860,-68.430
Vema 1930,61.220,4.010,0.980,-78.030
Vema 1930,62.080,3.990,0.960,-76.430
Vema 1930,62.940,4.050,1.020,-81.230
Vema 1930,63.370,3.970,0.940,-74.830
Vema 1930,63.800,3.930,0.900,-71.630
Vema 1930,64.230,4.020,0.990,-78.830
Vema 1930,64.660,3.970,0.940,-74.830
Vema 1930,65.090,3.920,0.890,-70.830
Vema 1930,65.520,3.940,0.910,-72.430
Vema 1930,65.960,4.020,0.990,-78.830
Vema 1930,66.390,3.960,0.930,-74.030
Vema 1930,66.830,3.830,0.800,-63.630
Vema 1930,67.770,3.990,0.960,-76.430
Vema 1930,68.210,3.950,0.920,-73.230
Vema 1930,68.660,3.840,0.810,-64.430
Vema 1930,69.100,3.810,0.780,-62.030
Vema 1930,69.550,3.770,0.740,-58.830
Vema 1930,70.020,3.810,0.780,-62.030
Vema 1930,70.490,3.830,0.800,-63.630
Vema 1930,71.190,3.860,0.830,-66.030
Vema 1930,71.770,3.690,0.660,-52.430
Vema 1930,72.360,3.540,0.510,-40.430
Vema 1930,73.050,3.560,0.530,-42.030
Vema 1930,73.770,3.620,0.590,-46.830
Vema 1930,74.490,3.740,0.710,-56.430
Vema 1930,75.250,3.700,0.670,-53.230
Vema 1930,76.010,3.540,0.510,-40.430
Vema 1930,76.780,3.580,0.550,-43.630
Vema 1930,77.570,3.530,0.500,-39.630
Vema 1930,78.360,3.490,0.460,-36.430
Vema 1930,79.150,3.410,0.380,-30.030
Vema 1930,79.950,3.390,0.360,-28.430
Vema 1930,80.760,3.400,0.370,-29.230
Vema 1930,81.560,3.350,0.320,-25.230
Vema 1930,82.370,3.300,0.270,-21.230
Vema 1930,83.190,3.390,0.360,-28.430
Vema 1930,84.000,3.390,0.360,-28.430
Vema 1930,84.820,3.530,0.500,-39.630
Vema 1930,85.640,3.480,0.450,-35.630
Vema 1930,86.460,3.650,0.620,-49.230
Vema 1930,87.290,3.680,0.650,-51.630
Vema 1930,88.120,3.720,0.690,-54.830
Vema 1930,88.950,3.790,0.760,-60.430
Vema 1930,89.800,3.590,0.560,-44.430
Vema 1930,90.640,3.710,0.680,-54.030
Vema 1930,91.500,3.690,0.660,-52.430
Vema 1930,92.660,3.480,0.450,-35.630
Vema 1930,93.540,3.450,0.420,-33.230
Vema 1930,94.460,3.420,0.390,-30.830
Vema 1930,95.370,3.550,0.520,-41.230
Vema 1930,96.300,3.490,0.460,-36.430
Vema 1930,97.250,3.390,0.360,-28.430
Vema 1930,98.200,3.370,0.340,-26.830
Vema 1930,99.160,3.400,0.370,-29.230
Vema 1930,100.120,3.410,0.380,-30.030
Vema 1930,101.080,3.430,0.400,-31.630
Vema 1930,102.010,3.340,0.310,-24.430
Vema 1930,102.950,3.530,0.500,-39.630
Vema 1930,103.880,3.600,0.570,-45.230
Vema 1930,104.890,3.560,0.530,-42.030
Vema 1930,105.760,3.570,0.540,-42.830
Vema 1930,106.610,3.500,0.470,-37.230
Vema 1930,107.930,3.880,0.850,-67.630
Vema 1930,108.460,3.650,0.620,-49.230
Vema 1930,109.230,3.700,0.670,-53.230
Vema 1930,110.240,3.750,0.720,-57.230
Vema 1930,111.000,3.730,0.700,-55.630
Vema 1930,111.770,3.370,0.340,-26.830
Vema 1930,112.530,3.370,0.340,-26.830
Vema 1930,113.580,3.340,0.310,-24.430
Vema 1930,114.400,3.130,0.100,-7.630
Vema 1930,115.500,3.070,0.040,-2.830
Vema 1930,116.420,3.360,0.330,-26.030
Vema 1930,117.340,2.910,0.180,-14.060
Vema 1930,118.610,2.770,0.040,-2.860
Vema 1930,119.610,2.720,-0.010,1.140
Vema 1930,120.610,2.830,0.100,-7.660
Vema 1930,122.000,2.780,0.050,-3.660
Vema 1930,123.050,2.680,-0.050,4.340
Vema 1930,124.100,2.950,0.220,-17.260
Vema 1930,125.520,2.770,0.040,-2.860
Vema 1930,126.580,2.710,-0.020,1.940
Vema 1930,127.610,2.810,0.080,-6.060
Vema 1930,128.960,2.940,0.210,-16.460
Vema 1930,129.950,2.890,0.160,-12.460
Vema 1930,130.810,3.460,0.730,-58.060
Vema 1930,131.960,3.590,0.560,-44.430
Vema 1930,132.750,3.360,0.330,-26.030
Vema 1930,133.470,3.840,0.810,-64.430
846 Liseicki,134.540,4.070,1.040,-82.820
846 Liseicki,137.690,4.240,1.210,-96.420
846 Liseicki,140.260,3.730,0.700,-55.630
846 Liseicki,142.270,4.060,1.030,-82.020
846 Liseicki,144.250,4.120,1.090,-86.820
846 Liseicki,146.320,4.050,1.020,-81.220
846 Liseicki,148.210,3.970,0.940,-74.830
846 Liseicki,150.100,3.830,0.800,-63.630
846 Liseicki,151.990,3.950,0.920,-73.630
846 Liseicki,153.880,3.890,0.860,-68.430
846 Liseicki,156.190,4.020,0.990,-79.220
846 Liseicki,158.490,4.030,1.000,-80.020
846 Liseicki,161.040,4.020,0.990,-78.820
846 Liseicki,163.340,3.930,0.900,-71.630
846 Liseicki,165.650,3.830,0.800,-63.630
846 Liseicki,167.950,3.790,0.760,-60.830
846 Liseicki,170.220,3.750,0.720,-57.230
846 Liseicki,172.140,3.660,0.630,-50.430
846 Liseicki,174.150,3.620,0.590,-46.830
846 Liseicki,176.240,3.600,0.570,-45.230
846 Liseicki,178.870,3.680,0.650,-52.030
846 Liseicki,182.000,3.660,0.630,-50.030
846 Liseicki,185.120,3.660,0.630,-50.030
846 Liseicki,187.780,3.820,0.790,-62.830
846 Liseicki,190.210,3.430,0.390,-31.230
846 Liseicki,192.160,3.320,0.280,-22.430
846 Liseicki,194.850,3.390,0.360,-28.430
846 Liseicki,197.280,3.360,0.330,-26.030
846 Liseicki,200.300,2.990,-0.050,3.960
846 Liseicki,203.530,3.180,0.140,-11.260
846 Liseicki,206.930,3.070,0.040,-2.880
846 Liseicki,210.100,2.960,0.230,-18.070
846 Liseicki,213.090,2.890,0.160,-12.470
846 Liseicki,216.210,2.820,0.080,-6.470
846 Liseicki,219.080,3.160,0.420,-33.670
846 Liseicki,221.580,3.680,0.950,-76.060
846 Liseicki,224.390,3.770,0.740,-58.990
846 Liseicki,227.520,3.430,0.400,-31.820
846 Liseicki,230.360,3.550,0.520,-41.830
846 Liseicki,233.490,3.420,0.380,-30.660
846 Liseicki,236.330,3.210,0.170,-13.880
846 Liseicki,240.090,3.090,0.060,-4.700
846 Liseicki,243.140,3.100,0.070,-5.520
846 Liseicki,245.310,3.520,0.490,-39.530
846 Liseicki,247.620,3.510,0.480,-38.350
846 Liseicki,250.060,3.780,0.750,-59.960
846 Liseicki,252.270,3.880,0.850,-68.380
846 Liseicki,254.470,3.820,0.790,-63.590
846 Liseicki,256.920,3.870,0.840,-67.210
846 Liseicki,259.360,3.820,0.790,-63.230
846 Liseicki,262.050,3.820,0.800,-63.640
846 Liseicki,264.640,3.740,0.710,-56.860
846 Liseicki,267.310,3.740,0.720,-57.280
846 Liseicki,268.420,3.780,0.750,-60.090
846 Liseicki,269.750,3.630,0.600,-48.100
846 Liseicki,272.150,3.850,0.820,-65.710
846 Liseicki,272.710,3.750,0.720,-57.720
846 Liseicki,275.770,3.840,0.810,-64.940
846 Liseicki,277.710,3.630,0.600,-48.150
846 Liseicki,278.550,3.600,0.570,-45.760
846 Liseicki,280.620,3.410,0.380,-30.170
846 Liseicki,282.430,3.370,0.340,-27.390
846 Liseicki,284.010,3.170,0.140,-11.400
846 Liseicki,284.590,3.230,0.200,-16.200
846 Liseicki,285.580,3.200,0.170,-13.810
846 Liseicki,286.360,3.300,0.270,-21.810
846 Liseicki,287.230,3.310,0.280,-22.620
846 Liseicki,288.460,3.210,0.180,-14.630
846 Liseicki,290.840,3.260,0.230,-18.240
846 Liseicki,293.910,3.480,0.450,-36.260
846 Liseicki,297.870,3.390,0.360,-29.090
846 Liseicki,301.020,3.320,0.290,-23.520
846 Liseicki,303.480,3.500,0.470,-37.970
846 Liseicki,305.540,3.260,0.240,-18.810
846 Liseicki,307.690,3.230,0.210,-16.450
846 Liseicki,309.130,3.190,0.170,-13.270
846 Liseicki,311.770,3.210,0.190,-14.920
846 Liseicki,314.880,2.950,-0.070,5.820
846 Liseicki,316.080,3.160,0.140,-11.000
846 Liseicki,317.270,3.090,0.060,-5.030
846 Liseicki,319.190,3.410,0.680,-54.060
846 Liseicki,319.750,3.100,0.370,-29.270
846 Liseicki,323.000,2.610,-0.120,9.930
846 Liseicki,323.790,2.610,-0.120,9.930
846 Liseicki,326.530,2.720,-0.010,1.130
846 Liseicki,329.050,2.830,-0.190,15.150
846 Liseicki,329.520,3.100,0.080,-6.450
846 Liseicki,333.220,3.090,0.070,-5.720
846 Liseicki,334.890,3.290,0.270,-21.350
846 Liseicki,337.300,4.000,0.980,-78.590
846 Liseicki,337.700,3.640,0.620,-49.800
846 Liseicki,339.120,3.990,0.970,-77.820
846 Liseicki,339.530,3.790,0.770,-61.830
846 Liseicki,340.340,3.930,0.910,-73.040
846 Liseicki,341.190,4.110,1.090,-87.460
846 Liseicki,341.620,3.970,0.950,-76.270
846 Liseicki,343.040,3.960,0.950,-75.890
846 Liseicki,344.650,4.070,1.050,-84.320
846 Liseicki,345.150,3.770,0.750,-60.330
846 Liseicki,347.980,3.910,0.890,-71.590
846 Liseicki,351.070,3.910,0.900,-71.640
846 Liseicki,353.270,3.990,0.980,-78.080
846 Liseicki,354.760,3.890,0.880,-70.110
846 Liseicki,355.990,3.950,0.940,-74.930
846 Liseicki,357.470,3.880,0.870,-69.360
846 Liseicki,358.950,4.290,1.280,-102.180
846 Liseicki,361.420,3.570,0.560,-44.640
846 Liseicki,365.020,3.440,0.430,-34.310
846 Liseicki,368.880,3.910,0.900,-71.970
846 Liseicki,372.460,3.490,0.480,-38.440
846 Liseicki,375.220,3.490,0.480,-38.490
846 Liseicki,377.420,3.470,0.460,-36.930
846 Liseicki,379.900,3.370,0.360,-28.980
846 Liseicki,382.380,3.450,0.440,-35.430
846 Liseicki,385.760,3.280,0.270,-21.890
846 Liseicki,389.010,3.080,0.070,-5.950
846 Liseicki,392.780,3.160,0.160,-12.420
846 Liseicki,395.050,2.870,-0.130,10.730
846 Liseicki,396.300,2.880,-0.120,9.910
846 Liseicki,397.560,2.560,-0.170,13.930
846 Liseicki,399.580,2.570,-0.160,13.130
846 Liseicki,400.330,2.620,-0.110,9.130
846 Liseicki,403.100,2.430,-0.300,24.320
846 Liseicki,405.870,2.670,-0.060,5.130
846 Liseicki,408.830,2.700,-0.030,2.730
846 Liseicki,412.300,2.840,-0.160,12.690
846 Liseicki,416.510,3.080,0.080,-6.230
846 Liseicki,420.140,3.700,0.700,-56.320
846 Liseicki,424.040,3.890,0.900,-71.630
846 Liseicki,426.840,4.170,1.180,-94.110
846 Liseicki,430.010,4.280,1.290,-103.400
846 Liseicki,433.010,4.280,1.290,-103.090
846 Liseicki,436.300,4.360,1.370,-109.980
846 Liseicki,438.330,4.280,1.290,-103.240
846 Liseicki,440.110,3.870,0.880,-70.490
846 Liseicki,441.550,4.060,1.070,-85.730
846 Liseicki,445.040,3.820,0.830,-66.630
846 Liseicki,446.690,3.820,0.830,-66.680
846 Liseicki,447.990,3.890,0.910,-72.720
846 Liseicki,449.280,3.820,0.830,-66.760
846 Liseicki,450.570,3.800,0.810,-65.190
846 Liseicki,453.020,3.790,0.810,-64.460
846 Liseicki,453.410,3.880,0.900,-71.670
846 Liseicki,454.340,3.910,0.930,-74.100
846 Liseicki,454.830,3.810,0.830,-66.110
846 Liseicki,456.060,4.000,1.020,-81.350
846 Liseicki,457.990,4.070,1.090,-87.000
846 Liseicki,460.030,3.950,0.970,-77.460
846 Liseicki,462.500,3.970,0.990,-79.130
846 Liseicki,464.950,4.000,1.020,-81.600
846 Liseicki,467.980,3.790,0.810,-64.890
846 Liseicki,471.240,3.620,0.640,-51.390
846 Liseicki,474.460,3.400,0.420,-33.880
846 Liseicki,477.670,3.440,0.460,-37.170
846 Liseicki,482.820,3.290,0.320,-25.320
846 Liseicki,486.350,3.180,0.210,-16.620
846 Liseicki,489.650,3.180,0.210,-16.720
846 Liseicki,492.500,3.710,0.740,-59.190
846 Liseicki,495.130,3.230,0.260,-20.870
846 Liseicki,497.980,3.300,0.330,-26.550
846 Liseicki,500.830,3.040,0.070,-5.840
846 Liseicki,503.680,3.480,0.510,-41.110
846 Liseicki,505.970,3.570,0.600,-48.380
846 Liseicki,508.260,3.620,0.660,-52.440
846 Liseicki,510.540,3.750,0.790,-62.910
846 Liseicki,512.870,3.740,0.780,-62.170
846 Liseicki,516.370,3.620,0.660,-52.670
846 Liseicki,517.130,3.430,0.470,-37.500
846 Liseicki,520.360,3.480,0.520,-41.590
846 Liseicki,523.940,3.440,0.480,-38.490
846 Liseicki,527.640,3.460,0.500,-40.200
846 Liseicki,532.280,3.620,0.660,-53.130
846 Liseicki,535.990,3.740,0.790,-62.830
846 Liseicki,540.060,3.730,0.780,-62.150
846 Liseicki,543.530,3.700,0.750,-59.850
846 Liseicki,548.070,3.840,0.890,-71.180
846 Liseicki,552.180,3.560,0.610,-48.900
846 Liseicki,556.120,3.690,0.740,-59.410
846 Liseicki,558.830,3.570,0.620,-49.890
846 Liseicki,562.070,3.480,0.530,-42.780
846 Liseicki,564.070,3.270,0.330,-26.040
846 Liseicki,566.080,3.240,0.300,-23.700
846 Liseicki,568.750,3.300,0.360,-28.570
846 Liseicki,570.740,3.100,0.160,-12.630
846 Liseicki,572.430,3.080,0.140,-11.080
846 Liseicki,575.080,2.940,0.000,0.040
846 Liseicki,578.450,3.230,0.290,-23.250
846 Liseicki,581.580,3.710,0.770,-61.740
846 Liseicki,584.940,3.760,0.820,-65.830
846 Liseicki,588.110,3.570,0.630,-50.730
846 Liseicki,592.230,3.400,0.470,-37.240
846 Liseicki,596.950,3.370,0.440,-34.980
846 Liseicki,600.440,3.440,0.510,-40.680
846 Liseicki,605.650,3.370,0.440,-35.210
846 Liseicki,610.520,3.150,0.220,-17.730
846 Liseicki,614.170,3.380,0.450,-36.220
846 Liseicki,617.850,3.540,0.610,-49.120
846 Liseicki,620.120,3.750,0.820,-50.750
846 Liseicki,622.910,4.240,1.320,-80.950
846 Liseicki,625.410,4.140,1.220,-74.850
846 Liseicki,628.000,4.460,1.540,-94.590
846 Liseicki,629.670,4.150,1.230,-75.540
846 Liseicki,630.970,4.290,1.370,-84.180
846 Liseicki,632.310,4.350,1.430,-87.900
846 Liseicki,633.900,4.220,1.300,-79.930
846 Liseicki,635.130,4.120,1.200,-73.800
846 Liseicki,637.610,4.170,1.250,-76.930
846 Liseicki,639.620,4.030,1.110,-68.350
846 Liseicki,642.220,4.090,1.170,-72.100
846 Liseicki,644.010,4.090,1.170,-72.130
846 Liseicki,646.010,4.100,1.180,-72.780
846 Liseicki,647.600,4.080,1.160,-71.580
846 Liseicki,650.750,3.950,1.030,-63.650
846 Liseicki,653.750,3.910,1.000,-61.240
846 Liseicki,655.110,3.970,1.060,-64.960
846 Liseicki,657.020,3.900,0.990,-60.690
846 Liseicki,658.380,3.870,0.960,-58.870
846 Liseicki,660.020,3.830,0.920,-56.440
846 Liseicki,661.960,3.690,0.780,-47.870
846 Liseicki,663.710,3.910,1.000,-61.440
846 Liseicki,664.290,3.680,0.770,-47.300
846 Liseicki,667.490,3.910,1.000,-61.510
846 Liseicki,670.400,3.780,0.870,-53.570
846 Liseicki,672.140,3.740,0.830,-51.140
846 Liseicki,673.430,3.920,1.010,-62.240
846 Liseicki,674.680,3.780,0.870,-53.650
846 Liseicki,676.200,3.850,0.940,-57.990
846 Liseicki,677.730,3.800,0.890,-54.940
846 Liseicki,680.270,3.790,0.880,-54.370
846 Liseicki,684.350,3.390,0.480,-29.840
846 Liseicki,711.080,3.840,0.940,-57.980
846 Liseicki,719.400,3.990,1.090,-67.310
846 Liseicki,721.480,3.950,1.050,-64.880
846 Liseicki,722.710,4.000,1.100,-67.970
846 Liseicki,723.750,3.790,0.890,-55.060
846 Liseicki,724.900,3.590,0.700,-42.770
846 Liseicki,726.740,3.540,0.650,-39.720
846 Liseicki,729.900,3.630,0.740,-45.300
846 Liseicki,737.660,3.750,0.860,-52.780
846 Liseicki,742.190,3.660,0.770,-47.300
846 Liseicki,744.150,3.770,0.880,-54.100
846 Liseicki,745.680,3.700,0.810,-49.810
846 Liseicki,746.760,3.880,0.990,-60.900
846 Liseicki,748.650,4.010,1.120,-68.920
846 Liseicki,753.270,3.830,0.940,-57.910
846 Liseicki,756.540,3.830,0.940,-57.950
846 Liseicki,760.100,3.670,0.780,-48.150
846 Liseicki,763.560,3.470,0.580,-35.890
846 Liseicki,766.710,3.520,0.630,-39.010
846 Liseicki,769.270,3.390,0.500,-31.040
846 Liseicki,771.780,3.300,0.410,-25.530
846 Liseicki,774.050,3.340,0.460,-28.030
846 Liseicki,776.560,3.090,0.210,-12.680
846 Liseicki,779.650,3.040,0.160,-9.640
846 Liseicki,782.580,3.020,0.140,-8.450
846 Liseicki,785.330,3.130,0.250,-15.250
846 Liseicki,787.420,3.390,0.510,-31.270
846 Liseicki,789.240,3.500,0.610,-37.760
846 Liseicki,792.810,3.330,0.450,-27.650
846 Liseicki,794.830,4.040,1.160,-71.370
846 Liseicki,798.260,3.990,1.110,-68.330
846 Liseicki,801.960,3.960,1.080,-66.520
846 Liseicki,805.330,3.770,0.890,-54.850
846 Liseicki,807.980,3.800,0.920,-56.720
846 Liseicki,810.030,3.440,0.560,-34.580
846 Liseicki,812.190,3.740,0.860,-53.050
846 Liseicki,814.510,3.660,0.780,-48.140
846 Liseicki,816.550,3.530,0.650,-40.160
846 Liseicki,819.040,3.370,0.490,-30.330
846 Liseicki,821.590,3.220,0.340,-21.120
846 Liseicki,823.880,3.480,0.600,-37.130
846 Liseicki,832.190,3.410,0.530,-32.880
846 Liseicki,834.820,3.390,0.510,-31.660
846 Liseicki,837.440,3.420,0.540,-33.530
846 Liseicki,840.060,3.350,0.480,-29.230
846 Liseicki,842.680,3.130,0.260,-15.720
846 Liseicki,845.290,3.030,0.160,-9.580
846 Liseicki,847.910,3.080,0.210,-12.670
846 Liseicki,850.800,3.210,0.340,-20.690
846 Liseicki,853.420,3.400,0.530,-32.400
846 Liseicki,856.630,2.950,0.080,-4.730
846 Liseicki,860.670,2.980,0.110,-6.600
846 Liseicki,863.780,3.300,0.430,-26.310
846 Liseicki,866.930,3.820,0.950,-58.330
846 Liseicki,869.960,3.800,0.930,-57.120
846 Liseicki,873.350,4.150,1.280,-78.670
846 Liseicki,876.320,4.050,1.180,-72.540
846 Liseicki,878.650,4.140,1.270,-78.090
846 Liseicki,880.820,4.080,1.210,-74.420
846 Liseicki,883.500,3.920,1.050,-64.590
846 Liseicki,886.170,3.820,0.950,-58.450
846 Liseicki,889.180,3.900,1.030,-63.390
846 Liseicki,892.850,3.870,1.000,-61.570
846 Liseicki,897.280,3.810,0.940,-57.910
846 Liseicki,900.330,3.820,0.950,-58.540
846 Liseicki,902.000,3.410,0.540,-33.310
846 Liseicki,903.440,3.530,0.660,-40.700
846 Liseicki,904.390,3.580,0.710,-43.770
846 Liseicki,905.590,3.510,0.640,-39.470
846 Liseicki,906.780,3.450,0.580,-35.780
846 Liseicki,908.460,3.510,0.640,-39.470
846 Liseicki,910.850,3.510,0.640,-39.470
846 Liseicki,915.870,3.620,0.750,-46.240
846 Liseicki,921.370,3.760,0.890,-54.850
846 Liseicki,924.480,3.890,1.020,-62.850
846 Liseicki,926.440,3.820,0.950,-58.540
846 Liseicki,927.670,3.830,0.960,-59.160
846 Liseicki,928.490,3.600,0.730,-45.010
846 Liseicki,931.870,3.590,0.720,-44.390
846 Liseicki,935.860,3.390,0.520,-32.080
846 Liseicki,938.930,3.310,0.440,-27.160
846 Liseicki,942.090,2.870,0.000,-0.090
846 Liseicki,944.550,3.120,0.250,-15.470
846 Liseicki,947.250,2.990,0.120,-7.470
846 Liseicki,949.570,2.890,0.020,-1.320
846 Liseicki,952.110,2.750,-0.120,7.300
846 Liseicki,954.910,2.700,-0.170,10.370
846 Liseicki,957.390,3.440,0.570,-35.160
846 Liseicki,959.630,3.170,0.300,-18.550
846 Liseicki,965.250,3.570,0.700,-43.160
846 Liseicki,968.790,3.340,0.470,-29.010
846 Liseicki,972.530,3.250,0.380,-23.470
846 Liseicki,976.260,3.190,0.320,-19.780
846 Liseicki,979.990,3.060,0.190,-11.780
846 Liseicki,984.030,3.300,0.430,-26.550
846 Liseicki,988.610,3.360,0.490,-30.240
