,age_ka,sea_level_m
273,13650.000,-17.230
274,13700.000,6.420
275,13750.000,-8.070
276,13800.000,6.380
277,13850.000,18.360
278,13900.000,56.787
279,13950.000,28.430
280,14000.000,40.670
281,14050.000,14.570
282,14100.000,31.540
283,14150.000,18.335
284,14200.000,19.895
285,14250.000,17.760
286,14300.000,21.170
287,14350.000,12.970
288,14400.000,-0.140
289,14450.000,-5.640
290,14500.000,30.080
291,14550.000,41.580
292,14600.000,16.470
293,14650.000,23.250
294,14700.000,14.960
295,14750.000,44.785
296,14800.000,21.845
297,14850.000,24.760
298,14900.000,12.445
299,14950.000,47.125
300,15000.000,26.858
301,15050.000,41.138
302,15100.000,50.640
303,15150.000,30.190
304,15200.000,53.230
305,15250.000,11.976
306,15300.000,31.032
307,15350.000,9.290
308,15400.000,4.183
309,15450.000,7.824
310,15500.000,36.528
311,15550.000,4.930
312,15600.000,40.694
313,15650.000,-8.568
314,15700.000,13.770
315,15750.000,5.010
316,15800.000,15.940
317,15850.000,-0.060
318,15900.000,-1.560
319,15950.000,5.814
320,16000.000,61.774
321,16050.000,32.134
322,16100.000,21.825
323,16150.000,28.376
324,16200.000,30.750
325,16250.000,21.040
326,16300.000,11.932
327,16350.000,37.216
328,16400.000,28.905
329,16450.000,53.899
330,16500.000,35.913
331,16550.000,26.107
332,16600.000,18.847
333,16650.000,14.760
334,16700.000,4.874
335,16750.000,26.250
336,16800.000,18.372
337,16850.000,20.900
338,16900.000,29.230
339,16950.000,5.353
340,17000.000,2.550
341,17050.000,8.550
342,17100.000,-3.780
343,17150.000,-4.700
344,17200.000,2.377
345,17250.000,-13.115
346,17300.000,33.610
347,17350.000,-17.670
348,17400.000,12.918
349,17450.000,13.470
350,17500.000,9.855
351,17550.000,2.653
352,17600.000,-19.709
353,17650.000,10.703
354,17700.000,11.962
355,17750.000,11.997
356,17800.000,10.793
357,17850.000,6.704
358,17900.000,-16.910
359,17950.000,-4.650
360,18000.000,-20.802
361,18050.000,16.120
362,18100.000,-6.303
363,18150.000,-9.659
364,18200.000,-6.197
365,18250.000,10.334
366,18300.000,-9.074
367,18350.000,-21.954
368,18400.000,-20.775
369,18450.000,-3.717
370,18500.000,-2.633
371,18550.000,-19.082
372,18600.000,-22.277
373,18650.000,-7.665
374,18700.000,-22.968
375,18750.000,-20.970
376,18800.000,4.930
377,18850.000,-24.835
378,18900.000,-22.146
379,18950.000,-21.084
380,19000.000,-25.014
381,19050.000,-25.440
382,19100.000,-11.480
383,19150.000,-5.863
384,19200.000,0.258
385,19250.000,-10.203
386,19300.000,-5.590
387,19350.000,-34.450
388,19400.000,-33.040
389,19450.000,-42.590
390,19500.000,-24.962
391,19550.000,1.117
392,19600.000,-14.580
393,19650.000,-5.855
394,19700.000,8.150
395,19750.000,10.100
396,19800.000,-27.520
397,19850.000,-19.357
398,19900.000,-17.713
399,19950.000,-4.967
400,20000.000,-0.077
401,20050.000,23.607
402,20100.000,8.320
403,20150.000,-6.967
404,20200.000,-5.880
405,20250.000,11.579
406,20300.000,15.184
407,20350.000,6.988
408,20400.000,9.892
409,20450.000,-14.984
410,20500.000,-37.093
411,20550.000,-39.790
412,20600.000,-41.058
413,20650.000,-36.229
414,20700.000,-11.833
415,20750.000,-13.862
416,20800.000,-19.119
417,20850.000,3.896
418,20900.000,-41.580
419,20950.000,-22.762
420,21000.000,-16.920
421,21050.000,-13.277
422,21100.000,-7.147
423,21150.000,-11.485
424,21200.000,-3.678
425,21250.000,-12.181
426,21300.000,-24.317
427,21350.000,0.395
428,21400.000,-19.079
429,21450.000,-6.873
430,21500.000,11.696
431,21550.000,30.264
432,21600.000,27.643
433,21650.000,13.113
434,21700.000,1.260
435,21750.000,16.143
436,21800.000,2.358
437,21850.000,11.400
438,21900.000,-14.685
439,21950.000,-14.562
440,22000.000,-17.334
441,22050.000,-0.296
442,22100.000,7.892
443,22150.000,-30.477
444,22200.000,-26.230
445,22250.000,-32.850
446,22300.000,-16.008
447,22350.000,-18.780
448,22400.000,-19.312
449,22450.000,-36.740
450,22500.000,13.481
451,22550.000,-14.251
452,22600.000,-12.362
453,22650.000,2.844
454,22700.000,-0.394
455,22750.000,-12.030
456,22800.000,29.128
457,22850.000,-16.026
458,22900.000,-10.804
459,22950.000,-16.061
460,23000.000,-26.604
461,23050.000,-22.282
462,23100.000,-27.925
463,23150.000,4.955
464,23200.000,1.205
465,23250.000,2.829
466,23300.000,6.679
467,23350.000,8.962
468,23400.000,10.780
469,23450.000,2.471
470,23500.000,3.970
471,23550.000,3.250
472,23600.000,5.206
473,23650.000,-9.495
474,23700.000,29.174
475,23750.000,8.574
476,23800.000,13.940
477,23850.000,7.278
478,23900.000,13.722
479,23950.000,16.723
480,24000.000,35.823
481,24050.000,18.887
482,24100.000,15.183
483,24150.000,27.457
484,24200.000,17.402
485,24250.000,13.460
486,24300.000,-11.900
487,24350.000,6.197
488,24400.000,32.516
489,24450.000,-9.587
490,24500.000,8.223
491,24550.000,7.080
492,24600.000,25.630
493,24650.000,16.797
494,24700.000,8.115
495,24750.000,23.167
496,24800.000,-6.426
497,24850.000,5.820
498,24900.000,15.870
499,24950.000,-1.535
500,25000.000,13.667
501,25050.000,7.047
502,25100.000,1.100
503,25150.000,1.120
504,25200.000,20.690
505,25250.000,3.390
506,25300.000,15.637
507,25350.000,18.213
508,25400.000,7.675
509,25450.000,-19.670
510,25500.000,-14.400
511,25550.000,-9.300
512,25600.000,2.195
513,25650.000,21.820
514,25700.000,22.480
515,25750.000,-7.440
516,25800.000,-4.920
517,25850.000,-10.038
518,25900.000,0.675
519,25950.000,-17.290
520,26000.000,17.040
521,26050.000,0.960
522,26100.000,19.950
523,26150.000,-2.307
524,26200.000,-11.640
525,26250.000,13.740
526,26300.000,8.560
527,26350.000,-2.390
528,26400.000,12.207
529,26450.000,-12.410
530,26500.000,27.080
531,26550.000,-4.980
532,26600.000,4.810
533,26650.000,-9.955
534,26700.000,-15.126
535,26750.000,-25.165
536,26800.000,-19.237
537,26850.000,-35.980
538,26900.000,-36.190
539,26950.000,-4.214
540,27000.000,12.509
541,27050.000,-23.650
542,27100.000,-19.710
543,27150.000,-9.758
544,27200.000,-26.948
545,27250.000,-10.642
546,27300.000,-17.890
547,27350.000,-0.849
548,27400.000,-23.307
549,27450.000,-14.438
550,27500.000,-26.196
551,27550.000,-14.293
552,27600.000,-18.217
553,27650.000,-31.316
554,27700.000,-43.304
555,27750.000,-0.240
556,27800.000,-2.080
557,27850.000,-17.190
558,27900.000,-35.270
559,27950.000,-21.147
560,28000.000,-18.867
561,28050.000,-27.263
562,28100.000,-11.008
563,28150.000,-31.727
564,28200.000,-20.630
565,28250.000,-32.893
566,28300.000,-26.013
567,28350.000,6.526
568,28400.000,-20.038
569,28450.000,-23.308
570,28500.000,-7.326
571,28550.000,-21.378
572,28600.000,-18.105
573,28650.000,10.530
574,28700.000,-14.763
575,28750.000,-21.485
576,28800.000,-15.680
577,28850.000,-18.067
578,28900.000,-49.091
579,28950.000,2.457
580,29000.000,-14.666
581,29050.000,-25.006
582,29100.000,7.415
583,29150.000,-5.185
584,29200.000,-25.982
585,29250.000,-19.580
586,29300.000,-9.075
587,29350.000,29.777
588,29400.000,-10.820
589,29450.000,8.810
590,29500.000,-16.234
591,29550.000,1.740
592,29600.000,-4.753
593,29650.000,-18.470
594,29700.000,2.526
595,29750.000,19.736
596,29800.000,-9.418
597,29850.000,15.960
598,29900.000,-8.873
599,29950.000,-14.720
600,30000.000,-4.090
601,30050.000,-10.657
602,30100.000,-8.335
603,30150.000,-3.810
604,30200.000,12.410
605,30250.000,0.270
606,30300.000,2.874
607,30350.000,-19.360
608,30400.000,1.616
609,30450.000,12.925
610,30500.000,-4.920
611,30550.000,22.586
612,30600.000,-5.870
613,30650.000,21.707
614,30700.000,-3.230
615,30750.000,0.254
616,30800.000,0.046
617,30850.000,13.626
618,30900.000,-15.652
619,30950.000,-14.600
620,31000.000,-20.460
621,31050.000,-3.610
622,31100.000,6.946
623,31150.000,11.286
624,31200.000,3.593
625,31250.000,-2.280
626,31300.000,-9.605
627,31350.000,6.223
628,31400.000,6.453
629,31450.000,15.297
630,31500.000,-7.443
631,31550.000,6.643
632,31600.000,-2.847
633,31650.000,-24.160
634,31700.000,-2.704
635,31750.000,-1.005
636,31800.000,-17.330
637,31850.000,-9.783
638,31900.000,-9.676
639,31950.000,0.240
640,32000.000,-2.625
641,32050.000,11.225
642,32100.000,-4.460
643,32150.000,-8.545
644,32200.000,16.290
645,32250.000,-14.467
646,32300.000,-10.160
647,32350.000,-8.710
648,32400.000,-9.027
649,32450.000,-8.610
650,32500.000,-0.200
651,32550.000,-11.242
652,32600.000,-6.900
653,32650.000,-22.510
654,32700.000,-18.013
655,32750.000,-15.510
656,32800.000,-28.590
657,32850.000,-16.424
658,32900.000,-19.360
659,32950.000,-0.033
660,33000.000,-18.900
661,33050.000,0.980
662,33100.000,-11.745
663,33150.000,-14.438
664,33200.000,-19.044
665,33250.000,-27.820
666,33300.000,-19.018
667,33350.000,-27.770
668,33400.000,-22.442
669,33450.000,-16.060
670,33500.000,-24.523
671,33550.000,-26.723
672,33600.000,-30.360
673,33650.000,-17.550
674,33700.000,18.330
675,33750.000,32.600
676,33800.000,25.630
677,33850.000,20.210
678,33900.000,27.800
679,33950.000,44.777
680,34000.000,46.737
681,34050.000,48.698
682,34100.000,50.658
683,34150.000,52.619
684,34200.000,38.301
685,34250.000,17.420
686,34300.000,60.028
687,34350.000,46.507
688,34400.000,52.730
689,34450.000,46.971
690,34500.000,46.377
691,34550.000,52.964
692,34600.000,43.131
693,34650.000,38.957
694,34700.000,36.216
695,34750.000,34.694
696,34800.000,42.521
697,34850.000,44.494
698,34900.000,46.467
699,34950.000,48.439
700,35000.000,44.547
701,35050.000,44.272
702,35100.000,43.996
703,35150.000,45.625
704,35200.000,46.221
